Name,Team,Level,GP,G,A,P
ZacharyChang,SanJoseJrSharks,10A-2,3,1,1,2,26
AndrewVantassell,SanJoseJrSharks,10A-2,28,0,5,5,0
ConnorAycock,SanJoseJrSharks,10A-2,27,9,10,19,0
AriBovermanFitzpatrick,SanJoseJrSharks,10A-2,24,1,2,3,0
OliverOuye,SanJoseJrSharks,10A-2,28,0,7,7,0
ZacharyCasem,SanJoseJrSharks,10A-2,27,16,7,23,0
MasonGartin,SanJoseJrSharks,10A-2,17,2,3,5,0
DanielRussell,SanJoseJrSharks,10A-2,26,16,1,17,0
NicoLam,SanJoseJrSharks,10A-2,28,14,18,32,0
JackSerpa,SanJoseJrSharks,10A-2,27,5,2,7,0
CremerLewis,SanJoseJrSharks,10A-2,27,1,1,2,0
AnthonyTaormino,SanJoseJrSharks,10A-2,26,5,3,8,0
EliMolyneaux,SanJoseJrSharks,10A-2,26,2,6,8,0
ApoloEmmanuelUkanwa,SanJoseJrSharks,10A-2,28,9,5,14,0
EliMorales,SanJoseJrSharks,10A-2,28,6,2,8,0
DiegoBarcenas,SanJoseJrSharks,10A-2,27,22,20,42,0
NicholasAAllen,OaklandBears,10B,24,71,11,82,0
ClaireLStauffer,OaklandBears,10B,20,0,2,2,0
JacobJaber,OaklandBears,10B,23,3,6,9,0
EmmaRStauffer,OaklandBears,10B,12,1,0,1,8
MilesJaffe,OaklandBears,10B,24,1,6,7,0
GriffinJLandfair,OaklandBears,10B,24,8,6,14,0
NathanWang,OaklandBears,10B,24,4,8,12,0
AryaMahmoudi,OaklandBears,10B,17,3,1,4,0
MichaelDWhite,OaklandBears,10B,10,1,2,3,13
MasonShelby,OaklandBears,10B,24,23,9,32,0
NicholasYansouni,OaklandBears,10B,21,11,6,17,0
JamesYokomizo,OaklandBears,10B,22,9,5,14,0
EmmettLeung,SanMateoBlackStars,10B,20,3,1,4,0
WilliamChan,SanMateoBlackStars,10B,22,7,4,11,0
MichelleVChin,SanMateoBlackStars,10B,21,0,0,0,0
JayMendoza,SanMateoBlackStars,10B,22,13,0,13,0
JordanMorris,SanMateoBlackStars,10B,21,7,2,9,0
KendylleCoit,SanMateoBlackStars,10B,21,0,0,0,0
AlexanderMorrison-Wells,SanMateoBlackStars,10B,21,1,0,1,0
BradyFletcher,SanMateoBlackStars,10B,20,0,2,2,0
