Name,Team,Level,GP,G,A,P
RowanPorter,SanMateoBlackStars,10B,18,0,0,0,0
CoryWebb,SanMateoBlackStars,10B,19,1,1,2,1
AndrewHung,SanMateoBlackStars,10B,22,0,0,0,0
LiamJones,SanMateoBlackStars,10B,19,8,3,11,0
NathanYu,SanMateoBlackStars,10B,21,1,2,3,0
ByoungchanKim,SanMateoBlackStars,10BB,26,2,0,2,0
WyattBest,SanMateoBlackStars,10BB,26,6,7,13,0
EvelynLang,SanMateoBlackStars,10BB,27,4,5,9,0
HarrisonBlake,SanMateoBlackStars,10BB,21,6,3,9,0
CoraMcGregor,SanMateoBlackStars,10BB,27,2,2,4,0
TrinityDejelo,SanMateoBlackStars,10BB,27,14,7,21,0
AdeSercinoglu,SanMateoBlackStars,10BB,27,11,2,13,0
AriaFilson,SanMateoBlackStars,10BB,27,5,3,8,0
EishinSuhara,SanMateoBlackStars,10BB,26,5,4,9,0
MatteoHaro,SanMateoBlackStars,10BB,23,20,5,25,0
JosieTanabe,SanMateoBlackStars,10BB,27,1,4,5,0
RachelHong,SanMateoBlackStars,10BB,26,0,1,1,0
ReidZobenica,SanMateoBlackStars,10BB,25,13,7,20,0
CarstenAnfinson,SantaRosaFlyers,10BB,24,9,22,31,0
WilliamTHudson,SantaRosaFlyers,10BB,4,1,2,3,19
JacobLower,SantaRosaFlyers,10BB,24,4,9,13,0
LincolnJBilleter,SantaRosaFlyers,10BB,24,23,24,47,0
CyrilPeay,SantaRosaFlyers,10BB,6,3,3,6,19
ThomasFPesch,SantaRosaFlyers,10BB,25,18,20,38,0
TylerJBruckbauer,SantaRosaFlyers,10BB,25,64,21,85,0
RyleeMPetterssen,SantaRosaFlyers,10BB,20,8,8,16,0
JosephSEngles,SantaRosaFlyers,10BB,22,23,14,37,1
HankRummel,SantaRosaFlyers,10BB,25,4,9,13,0
JosephKGagnebin,SantaRosaFlyers,10BB,21,19,26,45,0
AbigailESombs,SantaRosaFlyers,10BB,25,7,14,21,0
SamuelBarsky,CupertinoCougars,10BB,20,7,19,26,0
ZacharyLiu,CupertinoCougars,10BB,25,8,11,19,0
DesmondBurbank,CupertinoCougars,10BB,21,3,9,12,0
ZiqiMeng,CupertinoCougars,10BB,28,27,10,37,0
PhillipMueller,CupertinoCougars,10BB,28,1,4,5,0
EastonDekeyrel,CupertinoCougars,10BB,28,21,27,48,0
BryceGelb,CupertinoCougars,10BB,27,12,15,27,0
DouglasTilney,CupertinoCougars,10BB,28,22,8,30,0
RichardIshibashi,CupertinoCougars,10BB,23,8,11,19,0
PatrickTilney,CupertinoCougars,10BB,27,21,8,29,1
AlexanderLamfalusi,CupertinoCougars,10BB,6,3,1,4,14
NoeToth,CupertinoCougars,10BB,8,3,2,5,16
JudeBarajas,FresnoJrMonsters,10BB,19,10,1,11,0
MateoBogosyan,FresnoJrMonsters,10BB,7,1,1,2,0
MateoBogosyan,StocktonColts,10B,14,4,1,5,0
PresleyAScott,FresnoJrMonsters,10BB,16,0,1,1,0
JoshuaKnapp,FresnoJrMonsters,10BB,16,3,3,6,1
MichaelSpane,FresnoJrMonsters,10BB,15,0,1,1,0
EastonJLee,FresnoJrMonsters,10BB,17,0,0,0,0
ColtonVanbragt,FresnoJrMonsters,10BB,6,0,0,0,11
AxelVento,FresnoJrMonsters,10BB,13,0,2,2,0
ZakirPailing,FresnoJrMonsters,10BB,20,2,0,2,0
JunPruett,CupertinoCougars,10A,23,4,10,14,0
NinoDBalestrieri,CupertinoCougars,10A,23,45,19,64,0
EthanBei,CupertinoCougars,10A,23,0,0,0,0
GannonSmith,CupertinoCougars,10A,23,19,16,35,0
JaydenBei,CupertinoCougars,10A,23,2,4,6,0
MofanWang,CupertinoCougars,10A,23,14,6,20,0
AydenChou,CupertinoCougars,10A,21,4,13,17,0
WyattCWitkin,CupertinoCougars,10A,23,4,12,16,0
ElliottMDumont,CupertinoCougars,10A,23,17,12,29,0
KaiYi,CupertinoCougars,10A,22,24,8,32,0
SeanKLepler,CupertinoCougars,10A,22,14,15,29,0
StephenYu,CupertinoCougars,10A,23,6,10,16,0
AaronZetter,CupertinoCougars,10A,23,8,12,20,0
MichihisaAmagata,SantaClaraBlackhawks,10A,18,1,3,4,0
AthenaMartinez,SantaClaraBlackhawks,10A,17,2,6,8,0
BrodenTBlackmon,SantaClaraBlackhawks,10A,18,3,7,10,0
RiverGeorgii,OaklandBears,10A,7,0,0,0,0
RiverGeorgii,SantaClaraBlackhawks,10A,10,2,1,3,0
GeorgePequignot,SantaClaraBlackhawks,10A,13,4,1,5,0
AnthonyJIvester,SantaClaraBlackhawks,10A,13,1,1,2,4
DylanSRoberts,SantaClaraBlackhawks,10A,16,1,3,4,1
BrysenKhuong,SantaClaraBlackhawks,10A,16,1,1,2,0
EllaSawulski,SantaClaraBlackhawks,10A,19,0,2,2,0
CorinneLucas,SantaClaraBlackhawks,10A,15,6,5,11,0
KellerThurston,SantaClaraBlackhawks,10A,19,9,2,11,0
EzekielManlucu,SantaClaraBlackhawks,10A,18,2,2,4,0
MaximMarkovich,SantaClaraBlackhawks,10A,3,0,0,0,0
JacksonAlberti,TriValleyBlueDevils,10BB,1,0,0,0,0
DustinCaffey,TriValleyBlueDevils,10BB,21,17,6,23,10
NicklasLonghi,TriValleyBlueDevils,10BB,30,6,10,16,0
DexterChen,TriValleyBlueDevils,10BB,30,5,6,11,0
TurnerMandell,TriValleyBlueDevils,10BB,29,16,8,24,0
SunghyunCho,TriValleyBlueDevils,10BB,31,35,22,57,0
EliLNelson,TriValleyBlueDevils,10BB,25,0,5,5,0
HenryGarner,TriValleyBlueDevils,10BB,30,6,1,7,0
MikaBHatol,TriValleyBlueDevils,10BB,30,8,14,22,0
DominickPuth,TriValleyBlueDevils,10BB,30,31,21,52,0
StellanHjelm,TriValleyBlueDevils,10BB,31,5,2,7,0
GrantHladun,TriValleyBlueDevils,10BB,29,34,6,40,0
IsabellaMWongGonzalez,TriValleyBlueDevils,10BB,29,15,8,23,0
AshztonMAragon,StocktonColts,10A,14,14,7,21,0
HeathDevelbiss,StocktonColts,10A,17,9,3,12,0
RykerCloud,StocktonColts,10A,16,1,9,10,0
RyderCFord,StocktonColts,10A,12,2,3,5,0
OwenCColao,StocktonColts,10A,15,18,8,26,0
EliseHoward,StocktonColts,10A,14,0,1,1,0
DaltonELenhardt,StocktonColts,10A,17,16,12,28,0
AidennDavis,StocktonColts,10A,15,0,0,0,0
KrosbieRDelgado,StocktonColts,10A,15,3,1,4,0
BryceEMatos,StocktonColts,10A,16,1,5,6,0
YimingBeckmann,OaklandBears,10A,20,12,3,15,0
IsaacMartinezValenzuela,OaklandBears,10A,19,30,4,34,0
MiaSBellomo,OaklandBears,10A,20,2,7,9,0
AugustRMillstone,OaklandBears,10A,17,4,2,6,2
LiamMCallahan,OaklandBears,10A,2,0,0,0,15
HarlanOlsen,OaklandBears,10A,19,4,6,10,0
RexOmana,OaklandBears,10A,15,2,3,5,0
ThurstonCDearbornKotomori,OaklandBears,10A,18,7,3,10,0
HenryQWelsh,OaklandBears,10A,17,0,7,7,0
LukeWDugdale,OaklandBears,10A,2,0,0,0,12
SadieWielandt,OaklandBears,10A,19,1,2,3,0
NicoMalley,OaklandBears,10A,19,1,5,6,0
GageAnderson,SanFranciscoSabercats,10B,23,4,3,7,0
VsevolodMikheev,SanFranciscoSabercats,10B,22,28,6,34,0
MaryBach-Y-Rita,SanFranciscoSabercats,10B,25,0,1,1,0
TeoBettendorff,SanFranciscoSabercats,10B,25,9,5,14,0
NoahMin,SanFranciscoSabercats,10B,22,4,4,8,0
RyanChan,SanFranciscoSabercats,10B,25,5,8,13,0
MacarioBIbarra-Tacdol,SanFranciscoSabercats,10B,5,4,5,9,18
RadhaSmith,SanFranciscoSabercats,10B,25,1,5,6,0
IzzyJacobson,SanFranciscoSabercats,10B,23,9,5,14,0
WillemPTsang,SanFranciscoSabercats,10B,24,8,6,14,0
EdgarLouis,SanFranciscoSabercats,10B,17,2,2,4,6
TristanDBercovitch,SanFranciscoSabercats,10A,22,5,6,11,0
JesseNwankpa,SanFranciscoSabercats,10A,4,0,1,1,0
MajaJEnquist,SanFranciscoSabercats,10A,27,9,16,25,0
HardyPackard,SanFranciscoSabercats,10A,22,41,7,48,0
XavierMarshall,SanFranciscoSabercats,10A,2,2,2,4,24
JackFParr,SanFranciscoSabercats,10A,27,21,18,39,0
JuliannaBReyes,SanFranciscoSabercats,10A,24,2,6,8,0
CassidyNg,SanFranciscoSabercats,10A,21,6,9,15,3
EnzoWhite,SanFranciscoSabercats,10A,27,39,11,50,0
NicholasApostolopoulos,VacavilleJets,10BB,26,12,6,18,0
AudreyEchevarria,VacavilleJets,10BB,25,2,10,12,0
JakeNMeric,VacavilleJets,10BB,26,22,12,34,0
DexFesai,VacavilleJets,10BB,24,6,7,13,0
JaggerParker,VacavilleJets,10BB,26,27,7,34,0
EthanJHalling,VacavilleJets,10BB,19,0,3,3,0
ColtonReese,VacavilleJets,10BB,25,7,3,10,0
JoshuaHalling,VacavilleJets,10BB,5,0,0,0,0
ZacharryTSchwab,VacavilleJets,10BB,26,43,17,60,0
AnishJawale,VacavilleJets,10BB,24,0,6,6,0
BauerTorrens,VacavilleJets,10BB,26,15,5,20,0
EvanJKirk,VacavilleJets,10BB,26,1,3,4,0
AlexanderKish,VacavilleJets,10BB,11,19,3,22,0
HuxleyTurk,VacavilleJets,10BB,26,15,9,24,0
DexterAPhillips,FresnoJrMonsters,10BB,19,0,2,2,0
BrycinEstes,FresnoJrMonsters,10BB,9,0,0,0,5
KadenKlise,FresnoJrMonsters,10BB,15,1,0,1,0
OwenLundgren,FresnoJrMonsters,10BB,17,0,0,0,0
ZairenMecartea,FresnoJrMonsters,10BB,3,2,0,2,0
CooperJWielandt,OaklandBears,10A,2,0,0,0,0
TristenBounds,RenoIce,10A,18,50,20,70,0
DylanDOlenic,RenoIce,10A,20,1,8,9,0
EverettJFriedlander,RenoIce,10A,20,9,10,19,1
HenryQuatmann,RenoIce,10A,20,7,8,15,0
SantoLauer,RenoIce,10A,5,0,2,2,0
EmersonShmyr,RenoIce,10A,17,1,4,5,1
EthanLee,RenoIce,10A,21,20,15,35,0
NolanMcCaulley,RenoIce,10A,21,8,7,15,0
KodyThompson,RenoIce,10A,1,0,0,0,19
GavinMelson,RenoIce,10A,20,43,12,55,0
ElliottTousignant,RenoIce,10A,20,5,10,15,0
XanderMitchell,RenoIce,10A,19,23,23,46,1
TylerWong,RenoIce,10A,20,8,8,16,2
MaximilianCadil,SanJoseJrSharks,10A-3,23,1,1,2,0
RyanMaisen,SanJoseJrSharks,10A-3,22,8,6,14,0
BrodyChaves,SanJoseJrSharks,10A-3,25,2,7,9,0
MarkOrlov,SanJoseJrSharks,10A-3,24,6,6,12,0
JesseChu,SanJoseJrSharks,10A-3,23,3,6,9,0
LucaCombellas,SanJoseJrSharks,10A-3,25,4,7,11,0
LukePeterson,SanJoseJrSharks,10A-3,25,9,15,24,0
CodyDamico,SanJoseJrSharks,10A-3,22,1,1,2,0
OscarPoupyrev,SanJoseJrSharks,10A-3,25,14,2,16,0
LeviGreenwood,SanJoseJrSharks,10A-3,25,18,5,23,0
LevTikhonov,SanJoseJrSharks,10A-3,16,11,3,14,0
HarrisonXavier,SanJoseJrSharks,10A-3,23,3,3,6,0
OwenHannan,SanJoseJrSharks,10A-3,24,8,2,10,0
RyanKashkooli,SanJoseJrSharks,10A-3,25,5,6,11,0
RamonZuniga,SanJoseJrSharks,10A-3,1,0,0,0,21
BenjaminAkimoto,SantaClaraBlackhawks,10B,30,2,10,12,0
AidenRamirez,SantaClaraBlackhawks,10B,29,5,7,12,0
MaxwellBrouk,SantaClaraBlackhawks,10B,9,2,3,5,1
KaraClemens,SantaClaraBlackhawks,10B,17,42,2,44,3
FelixRoe,SantaClaraBlackhawks,10B,22,19,16,35,8
CarterGrant,SantaClaraBlackhawks,10B,9,1,1,2,19
RyanToensing,SantaClaraBlackhawks,10B,28,24,14,38,0
IsabelKIvester,SantaClaraBlackhawks,10B,25,1,4,5,0
RyanTran,SantaClaraBlackhawks,10B,29,5,5,10,0
FranchescaJimenez,SantaClaraBlackhawks,10B,30,4,5,9,0
AlanWaltz,SantaClaraBlackhawks,10B,5,0,0,0,0
SanayaJoshi,SantaClaraBlackhawks,10B,30,7,10,17,0
JasonWaltz,SantaClaraBlackhawks,10B,28,2,2,4,0
ArcherLi,SantaClaraBlackhawks,10B,9,0,1,1,0
AlexanderLiu,SantaClaraBlackhawks,10A,4,1,0,1,0
AlexanderLiu,SantaClaraBlackhawks,10B,16,6,5,11,1
ReeseWatson,SantaClaraBlackhawks,10B,28,13,10,23,0
AmarieLoof,SantaClaraBlackhawks,10B,25,20,16,36,0
HannahYarbrough,SantaClaraBlackhawks,10B,4,0,1,1,18
NicholasEEdwards,TriValleyBlueDevils,10A-2,27,12,14,26,0
JordanMadlansacay,TriValleyBlueDevils,10A-2,26,11,16,27,0
AliGad,TriValleyBlueDevils,10A-2,26,7,17,24,0
EnriqueMartinez,TriValleyBlueDevils,10A-2,27,32,17,49,0
MasonMcKone,TriValleyBlueDevils,10A-2,25,14,15,29,0
MarkusHatol,TriValleyBlueDevils,10A-2,26,14,22,36,0
RyanNicholas,TriValleyBlueDevils,10A-2,27,13,17,30,0
CalibJJames,TriValleyBlueDevils,10A-2,27,12,19,31,0
ChaseJOffers,TriValleyBlueDevils,10A-2,21,19,7,26,0
ShaneWeeck,TriValleyBlueDevils,10A-2,25,30,8,38,0
NathanKane,TriValleyBlueDevils,10A-2,27,6,14,20,0
RebeccaXZhao,TriValleyBlueDevils,10A-2,25,6,9,15,0
TannerZhao,TriValleyBlueDevils,10A-2,27,19,15,34,0
BryceAKaplenko,TriValleyBlueDevils,10A-2,25,11,10,21,0
WestleyBuchanan,StocktonColts,10B,18,1,5,6,0
Solomon-PaulCheun,StocktonColts,10A,8,0,2,2,0
Solomon-PaulCheun,StocktonColts,10B,8,3,0,3,0
JeremyMayes,StocktonColts,10A,10,0,3,3,0
JeremyMayes,StocktonColts,10B,8,2,2,4,0
LukeCrivelli,StocktonColts,10B,15,2,0,2,0
JohnPinomi-Rose,StocktonColts,10B,5,0,1,1,11
GradyPrice,StocktonColts,10B,10,0,1,1,6
MichaelGuindon,StocktonColts,10B,17,0,1,1,0
MakaiKotez,StocktonColts,10B,15,0,2,2,0
GregoryWebb,StocktonColts,10B,17,1,0,1,0
IvyYu,SanMateoBlackStars,10BB,25,3,5,8,0
PaoloQuarles,SanJoseJrSharks,10A-2,25,9,9,18,0
AtlasErol,SanFranciscoSabercats,10A,18,11,8,19,0
CameronMacMillan,SanFranciscoSabercats,10A,21,19,15,34,0
KasenAnnonio,CapitalThunder,10A,20,6,5,11,0
HaleyMartinez,CapitalThunder,10A,21,0,0,0,0
WilliamMcCuaig,CapitalThunder,10A,21,0,2,2,0
ConnorBolan,CapitalThunder,10A,20,3,3,6,0
BradyMoran,CapitalThunder,10A,21,1,5,6,0
HunterBolan,CapitalThunder,10A,1,0,0,0,19
ClintOates,CapitalThunder,10A,21,18,6,24,0
ColeChamberlain,CapitalThunder,10A,21,12,4,16,0
JacksonPowers,CapitalThunder,10A,21,4,3,7,0
TristanClowe,CapitalThunder,10A,16,2,0,2,0
BrendanRogers,CapitalThunder,10A,20,2,12,14,0
LukasHamilton,CapitalThunder,10A,18,1,1,2,0
RexVryheid,CapitalThunder,10A,21,13,9,22,0
NoahWard,CapitalThunder,10A,19,0,3,3,0
SamuelHodel,CapitalThunder,10A,20,18,6,24,0
JohnWillms,CapitalThunder,10A,18,3,1,4,0
JamesEplett,SantaClaraBlackhawks,10B,28,4,7,11,0
JaggerMarleau,CupertinoCougars,10BB,20,4,4,8,0
ColtonJones,CupertinoCougars,10BB,26,21,10,31,0
JeffreyJiron,VacavilleJets,10BB,3,0,0,0,0
TristanLei,SanFranciscoSabercats,10B,19,2,2,4,0
LandonSutton,SanJoseJrSharks,10A-3,22,9,5,14,0
GianniMorrone,SanMateoBlackStars,10B,18,1,6,7,0
NicolasBurciaga,StocktonColts,10A,9,1,1,2,0
NicolasBurciaga,StocktonColts,10B,5,1,0,1,0
JudahRafferty,StocktonColts,10B,4,0,0,0,0
FlynnGrant,SantaClaraBlackhawks,10A,16,0,6,6,0
HollisMonberg,SanFranciscoSabercats,10A,23,23,17,40,0
JamesonHutchens,FresnoJrMonsters,10BB,9,0,0,0,0
GarikMoore,FresnoJrMonsters,10BB,12,0,0,0,2
YichenHong,TriValleyBlueDevils,10BB,27,5,2,7,0
MATTHEWECHEVARRIA,VacavilleJets,10BB,2,0,0,0,0
BrendanChambers,RenoIce,10A,20,3,10,13,0
RoycePDickson-Child,CupertinoCougars,10BB,2,0,0,0,0
ParkerDrebert,StocktonColts,10B,12,17,0,17,0
AudreyLRoethlisberger,OaklandBears,10B,15,0,3,3,0
ClarkJRoss,StocktonColts,10B,12,0,1,1,0
AndreGore,TriValleyBlueDevils,10BB,15,5,7,12,0
AveryLewis,SanFranciscoSabercats,10B,1,0,0,0,1
BenjaminLHarrell,StocktonColts,10B,13,0,0,0,0
JohnFLongoIV,StocktonColts,10B,13,1,1,2,0
CristosArreguin,CupertinoCougars,10BB,19,1,2,3,0
CabotBrown,CapitalThunder,10A,1,0,0,0,0
GabrielContreras,StocktonColts,10B,9,0,2,2,0
ALEXANDERRANDALL,SanFranciscoSabercats,10B,1,0,0,0,0
NoahCortez,CapitalThunder,10A,2,0,0,0,0
AlexLiu,SantaClaraBlackhawks,10A,1,0,0,0,0
MarkReznikov,TriValleyBlueDevils,10BB,3,0,0,0,0
HunterLScott,OaklandBears,10B,7,0,5,5,0
JonathanButler,VacavilleJets,10BB,2,0,0,0,0
GeorgeFu,TriValleyBlueDevils,10BB,2,0,0,0,0
