Name,Team,Level,GP,G,A,P
MaverickEClark,StocktonColts,14A,17,8,25,33
AnthonyLopez,StocktonColts,14A,1,0,0,0
MilesCooper,StocktonColts,14A,1,0,0,0
IzackAParsons,StocktonColts,14A,18,30,6,36
LandonGCorcoran,StocktonColts,14A,18,11,6,17
SeanPeppers,StocktonColts,14A,13,21,16,37
ElleEDelgado,StocktonColts,14A,17,2,5,7
JadenPRatto,StocktonColts,14A,18,2,4,6
GrantPDevelbiss,StocktonColts,14A,16,2,4,6
DonovanTSoliven,StocktonColts,14A,18,7,3,10
CrispuloGines,StocktonColts,14A,18,1,3,4
DarrianJStevens,StocktonColts,14A,17,0,4,4
DominicRLenzi,StocktonColts,14A,16,1,0,1
ChristianTaylor,StocktonColts,14A,1,0,1,1
VictoriaCreeden,FresnoJrMonsters,14B,28,0,0,0
NilsEOppliger,FresnoJrMonsters,14B,27,3,5,8
ColbyDowell,FresnoJrMonsters,14B,8,0,0,0
MateusNFries,FresnoJrMonsters,14B,1,0,1,1
AustinPlummer,FresnoJrMonsters,14B,27,2,3,5
GeorgeGMadec,FresnoJrMonsters,14B,29,12,14,26
JamesonHRocha,FresnoJrMonsters,14B,23,20,15,35
BraxtonMecartea,FresnoJrMonsters,14B,1,0,0,0
LodynLRueckel,FresnoJrMonsters,14B,27,65,34,99
JaydenAMelchor,FresnoJrMonsters,14B,25,0,0,0
ColeNerland,FresnoJrMonsters,14B,1,0,0,0
TylerRScott,FresnoJrMonsters,14B,29,6,16,22
ReyanshNissankarao,FresnoJrMonsters,14B,28,14,24,38
NikolayNBarkhatov,SanJoseJrSharks,14A,33,20,15,35
EgorLikharev,SanJoseJrSharks,14A,33,4,4,8
BorisDBektchiev,SanJoseJrSharks,14A,31,0,2,2
TrofimNovikov,SanJoseJrSharks,14A,29,6,5,11
WinstonJBennette,SanJoseJrSharks,14A,32,10,7,17
GavinJReguaJimenez,SanJoseJrSharks,14A,29,0,0,0
EliMCarlos,SanJoseJrSharks,14A,31,1,4,5
NaylenWSaito,SanJoseJrSharks,14A,32,8,8,16
BradyTHerrgott,SanJoseJrSharks,14A,32,3,3,6
TrevorTShinden,SanJoseJrSharks,14A,28,3,0,3
KazimierzSSoszynski,SanJoseJrSharks,14A,32,1,5,6
AndrewHHo,SanJoseJrSharks,14A,33,21,22,43
NiklasOTossavainen,SanJoseJrSharks,14A,33,1,0,1
LoicKerebel,SanJoseJrSharks,14A,31,4,3,7
AdamAlvesIII,TriValleyBlueDevils,14A,26,0,0,0
RiyaanKAmin,TriValleyBlueDevils,14A,26,3,1,4
AlexanderTOmans,TriValleyBlueDevils,14A,25,4,5,9
MaddoxWOrmsby,TriValleyBlueDevils,14A,24,1,2,3
JacobFSoltis,TriValleyBlueDevils,14A,18,0,1,1
FlorianDeJong,TriValleyBlueDevils,14A,23,1,3,4
ThomasGSotto,TriValleyBlueDevils,14A,26,11,4,15
JosiahCDeLaVega,TriValleyBlueDevils,14A,26,4,3,7
BlakeCStanley,TriValleyBlueDevils,14A,25,1,3,4
PadraicSDwyer,TriValleyBlueDevils,14A,26,0,1,1
MadalinePStevens,TriValleyBlueDevils,14A,14,0,0,0
TylerFlynn,TriValleyBlueDevils,14A,23,0,1,1
HaydenSTerry,TriValleyBlueDevils,14A,26,0,0,0
RoryTWalter,TriValleyBlueDevils,14A,23,1,1,2
JacksonPLang,TriValleyBlueDevils,14A,23,3,1,4
MadisonLWingerd,TriValleyBlueDevils,14A,22,4,8,12
NicholasVMendes,TriValleyBlueDevils,14A,25,10,5,15
CasperJWu,TriValleyBlueDevils,14A,25,2,1,3
RyderXBlouin,VacavilleJets,14B,26,29,17,46
CaesarAMassari,VacavilleJets,14B,28,0,0,0
MakenzieRBrown,VacavilleJets,14B,28,2,4,6
JackEMeador,VacavilleJets,14B,24,14,14,28
HaydenCBrunke,VacavilleJets,14B,28,1,2,3
EliSMeis,VacavilleJets,14A,7,3,0,3
EliSMeis,VacavilleJets,14B,16,12,7,19
JesseACruces,VacavilleJets,14B,25,0,3,3
KeenanSmit,VacavilleJets,14B,27,7,12,19
BostonVHestonRojas,VacavilleJets,14B,28,13,11,24
ConnorAHorn,VacavilleJets,14B,25,6,9,15
ElizabethAWard,VacavilleJets,14B,26,6,12,18
BrendanKeskull-Moffatt,VacavilleJets,14B,27,9,11,20
ZoeyJWood,VacavilleJets,14B,24,6,5,11
NicholasKrzan,VacavilleJets,14B,27,3,6,9
EliseZawisza,VacavilleJets,14B,27,1,2,3
LandonWBergman,SantaClaraBlackhawks,14B,27,5,9,14
EthanCBilardello,SantaClaraBlackhawks,14B,29,0,0,0
KellanJMcnulty,SantaClaraBlackhawks,14B,29,18,22,40
RyanJCharles,SantaClaraBlackhawks,14B,27,1,8,9
ArushPatel,SantaClaraBlackhawks,14B,27,2,6,8
AsaOGrant,SantaClaraBlackhawks,14B,29,17,18,35
MaxwellUlinich,SantaClaraBlackhawks,14B,20,1,5,6
AdishJoshi,SantaClaraBlackhawks,14B,29,24,14,38
NolanJKing,SantaClaraBlackhawks,14B,20,3,6,9
EthanWu,SantaClaraBlackhawks,14B,26,2,4,6
KeeganLeroux,SantaClaraBlackhawks,14B,29,0,0,0
BronwynZhao,SantaClaraBlackhawks,14B,26,0,2,2
GavinBAnderson,CapitalThunder,14B,21,1,8,9
VincentBersamina,CapitalThunder,14B,23,12,10,22
ZacharyJHughes,CapitalThunder,14B,23,41,13,54
PeterMBowman,CapitalThunder,14B,25,4,9,13
GlebKizilov,CapitalThunder,14B,21,1,2,3
BrookelynMBurkhalter,CapitalThunder,14B,25,1,1,2
LandonMDempsey,CapitalThunder,14B,22,2,4,6
NickolasJLapenna,CapitalThunder,14B,24,2,2,4
AlexanderJDennis,CapitalThunder,14B,24,5,9,14
CameronGRiddle,CapitalThunder,14B,23,7,14,21
