Name,Team,Level,GP,G,A,P
FoxRDial,CapitalThunder,14B,25,10,4,14
EtaiGandler,CapitalThunder,14B,24,0,1,1
JosephPYeager,CapitalThunder,14B,23,9,4,13
NicholasWGroth,CapitalThunder,14B,24,7,3,10
GradyGAddleman,VacavilleJets,14A,17,8,8,16
DavidSBaylis,VacavilleJets,14A,14,2,5,7
JosefRProchazka,VacavilleJets,14A,17,4,3,7
SpencerMBell,VacavilleJets,14A,17,1,4,5
KiarraMProchazka,VacavilleJets,14A,14,1,6,7
TalanSandoval,VacavilleJets,14A,17,7,3,10
HunterRSchwarz,VacavilleJets,14A,17,1,0,1
TroyWHarrold,VacavilleJets,14A,17,2,2,4
ChristopherMSeverin,VacavilleJets,14A,17,0,0,0
NinaSJawale,VacavilleJets,14A,14,1,2,3
MyaRTaylor,VacavilleJets,14A,17,3,1,4
AshwinCMascarenhas,VacavilleJets,14A,17,2,5,7
TreyABounds,RenoIce,14A,3,1,0,1
GavinMNordquist,RenoIce,14A,18,1,2,3
LandonBrown,RenoIce,14A,18,3,4,7
JacobOrmaas,RenoIce,14A,18,1,0,1
DominicJCary,RenoIce,14A,17,4,2,6
RyanSCary,RenoIce,14A,18,2,1,3
ColterLRobertson,RenoIce,14A,16,5,3,8
TristanLDries,RenoIce,14A,18,0,0,0
PatrickBRogers,RenoIce,14A,18,5,3,8
KofiATantimonaco,RenoIce,14A,16,0,0,0
SydneyJHenning,RenoIce,14A,12,0,0,0
HenryJTaves,RenoIce,14A,16,5,5,10
AndrewDKleinbaum,RenoIce,14A,17,2,0,2
MikhailBUlrich,RenoIce,14A,18,1,3,4
MatthewAKlym,RenoIce,14A,15,4,4,8
AbigailBYeung,RenoIce,14A,18,0,0,0
VictorJAntink,OaklandBears,14B,19,1,4,5
VictorJAntink,OaklandBears,14A,2,1,0,1
JulianDMatthews,OaklandBears,14A,21,11,12,23
AeneasRAtienza-Washington,OaklandBears,14A,22,2,4,6
PabloRMolina,OaklandBears,14A,22,4,6,10
JoshuaRCanepa,OaklandBears,14A,21,1,6,7
LucaMParenti,OaklandBears,14A,22,0,0,0
DarwinLDunston,OaklandBears,14A,21,4,7,11
Otgon-OdSPurevdavaa,OaklandBears,14A,22,18,11,29
NathanielEidt,OaklandBears,14A,1,0,0,0
TravisFTsai,OaklandBears,14A,20,1,7,8
BenjaminGFong,OaklandBears,14A,22,6,4,10
HaydenWong,OaklandBears,14A,16,5,3,8
YiyangHou,OaklandBears,14A,21,14,7,21
ZacharyJDavis,CapitalThunder,14A,20,6,10,16
Jean-EzekielLajoie,CapitalThunder,14A,22,0,1,1
BrandonJFeng,CapitalThunder,14A,21,7,16,23
AdamRMacIas,CapitalThunder,14A,21,0,3,3
CameronSFolena,CapitalThunder,14A,22,24,12,36
StevenPPagano,CapitalThunder,14A,22,6,7,13
DallasJRoebuck,CapitalThunder,14A,22,14,11,25
ChristianLGlover,CapitalThunder,14A,20,2,7,9
AdamJRuffell,CapitalThunder,14A,22,15,17,32
ReedEKrouse,CapitalThunder,14A,22,23,8,31
IvanMSanders,CapitalThunder,14A,22,1,5,6
AlexJStillman,CapitalThunder,14A,22,5,13,18
ElliottJMaggiotto,SanFranciscoSabercats,14B,22,12,15,27
JackFreeman,SanFranciscoSabercats,14B,20,18,10,28
LevKGromov,SanFranciscoSabercats,14B,19,29,14,43
JailynPaquin-Askew,SanFranciscoSabercats,14B,21,8,11,19
JaedenHuot,SanFranciscoSabercats,14B,22,7,9,16
BennettCPirie,SanFranciscoSabercats,14B,20,5,3,8
CatherineCLee,SanFranciscoSabercats,14B,22,0,0,0
JakeLSnyder,SanFranciscoSabercats,14B,19,11,5,16
OwenALynn,OaklandBears,14A,15,6,6,12
OwenALynn,SanFranciscoSabercats,14B,1,1,0,1
HamptonYeh,SanFranciscoSabercats,14B,13,0,4,4
MadelineLAllen,SanMateoBlackStars,14B,25,1,12,13
JillianERizzi,SanMateoBlackStars,14B,17,1,4,5
GabriellaChan,SanMateoBlackStars,14B,24,1,3,4
BradenChiu,SanMateoBlackStars,14B,23,21,8,29
JeddHSo,SanMateoBlackStars,14B,22,9,4,13
MatthewTDoyleJr,SanMateoBlackStars,14B,22,4,1,5
WalterJStandifer,SanMateoBlackStars,14B,24,0,0,0
SeanRStewart,SanMateoBlackStars,14B,25,0,4,4
MilesPJoing,SanMateoBlackStars,14B,23,0,0,0
JasperCTam,SanMateoBlackStars,14B,20,0,0,0
JakeMcMahon,SanMateoBlackStars,14B,20,0,1,1
AnthonyMNieves,SanMateoBlackStars,14B,24,11,15,26
OliviaHYu,SanMateoBlackStars,14B,23,0,8,8
LiamSNiu,SanMateoBlackStars,14B,22,10,9,19
DavidLYurovitsky,SanMateoBlackStars,14B,22,0,3,3
OliverIReid,SanMateoBlackStars,14B,15,3,2,5
NicolasChen,CupertinoCougars,14B,20,0,1,1
CooperRDekeyrel,CupertinoCougars,14B,19,11,6,17
MikhailAKobrinskii,CupertinoCougars,14B,18,5,0,5
AlbinJEngstroem,CupertinoCougars,14B,20,0,0,0
BaileyMok,CupertinoCougars,14B,18,4,13,17
DennisLFrenkel,CupertinoCougars,14B,20,2,7,9
EdwardWMorton,CupertinoCougars,14B,19,0,5,5
LeoJGelb,CupertinoCougars,14A,20,4,0,4
LeoJGelb,CupertinoCougars,14B,7,4,4,8
JohnathanMGraham,CupertinoCougars,14B,21,3,13,16
WyattESharp,CupertinoCougars,14B,20,13,9,22
ConnorJHues,CupertinoCougars,14B,17,12,10,22
AlisaTarnikova,CupertinoCougars,14B,20,0,2,2
LucasSJackson,CupertinoCougars,14B,20,1,2,3
BlakeCUlicki,CupertinoCougars,14B,9,0,1,1
MateoTHemchand,CupertinoCougars,14A,23,0,2,2
JacksonRBarany,CupertinoCougars,14A,24,0,0,0
EthanJHong,CupertinoCougars,14A,21,0,1,1
EvanABeech,CupertinoCougars,14A,21,7,7,14
KianJKomposch,CupertinoCougars,14A,23,28,8,36
RemyLCohnAronoff,CupertinoCougars,14A,24,0,2,2
ColinRMatasek,CupertinoCougars,14A,24,1,3,4
DevinMDavis,CupertinoCougars,14A,21,4,3,7
CaleNakasone,CupertinoCougars,14A,24,8,12,20
DominicADellaChiesa,CupertinoCougars,14A,24,9,9,18
LeonardoSSebastianIii,CupertinoCougars,14A,24,10,9,19
KennethADibble,CupertinoCougars,14A,24,2,8,10
ThomasASherry,CupertinoCougars,14A,23,6,11,17
ClementineEDicksonChild,CupertinoCougars,14A,20,0,0,0
StanelyTang,CupertinoCougars,14A,20,7,5,12
EricHYuen,CupertinoCougars,14A,24,1,5,6
AidanJLove,SanJoseJrSharks,14A,31,14,13,27
MassimoMazumder,SanJoseJrSharks,14A,5,0,1,1
NikolaGGradinarov,SanJoseJrSharks,14A,27,2,4,6
BodieDKenny,SanJoseJrSharks,14A,31,2,4,6
CarsonVChan,OaklandBears,14B,24,11,4,15
MakenaJLawson,OaklandBears,14B,18,0,3,3
NyreeChitale,OaklandBears,14B,19,1,3,4
AlexanderNeugebauer,OaklandBears,14B,24,3,12,15
PeytonSDrake,OaklandBears,14B,23,0,4,4
JosePumarino,OaklandBears,14B,22,3,1,4
DavidLSingh,OaklandBears,14B,23,1,2,3
BrodyAGlass,OaklandBears,14B,13,5,1,6
OliverPWelborn,OaklandBears,14B,3,0,0,0
JackRLaplante,OaklandBears,14B,16,0,0,0
KieranJWladyka,OaklandBears,14B,23,2,5,7
GavinDKratz,RenoIce,14A,16,0,2,2
CurtisJHaupert,RenoIce,14A,15,3,4,7
MilesECooper,StocktonColts,14A,17,0,0,0
ChristianRTaylor,StocktonColts,14A,17,1,5,6
AnthonyLopezRodrigues,StocktonColts,14A,15,1,0,1
NikolasSBrown,TriValleyBlueDevils,14A,21,7,4,11
ColinAJones,SanFranciscoSabercats,14B,21,2,5,7
KaleoAAnoruo,SanFranciscoSabercats,14A,17,1,5,6
KadenJKronenberger,SanFranciscoSabercats,14A,18,4,1,5
CarlosAAyonIi,SanFranciscoSabercats,14A,21,0,0,0
MakoaTLawlor,SanFranciscoSabercats,14A,21,0,3,3
MarcRBorzoni,SanFranciscoSabercats,14A,21,19,16,35
MartinJLevy,SanFranciscoSabercats,14A,21,18,12,30
DavidCuperstein,SanFranciscoSabercats,14A,21,16,8,24
CooperRLewis,SanFranciscoSabercats,14A,21,7,15,22
TrevorPLuhning,SanFranciscoSabercats,14A,18,3,3,6
LaithElkadri,SanFranciscoSabercats,14A,21,3,11,14
EthanANgo,SanFranciscoSabercats,14A,21,6,7,13
ConorDGrieb,SanFranciscoSabercats,14A,21,5,5,10
ElijahOzawa,SanFranciscoSabercats,14A,21,3,5,8
StanislavErshov,SanJoseJrSharks,14A,18,12,14,26
MateusFries,FresnoJrMonsters,14B,28,1,4,5
StuartGGraveline,FresnoJrMonsters,14B,20,3,7,10
BraxtonPMecartea,FresnoJrMonsters,14B,28,15,11,26
ColeLNerland,FresnoJrMonsters,14B,27,0,1,1
PatrickCole,SantaClaraBlackhawks,14B,2,0,0,0
JasonASolis,SantaClaraBlackhawks,14B,24,0,2,2
JackKAlbrecht,SantaRosaFlyers,14A,24,0,5,5
CavanJMullen,SantaRosaFlyers,14A,25,5,10,15
AidanYBurke,SantaRosaFlyers,14A,25,11,9,20
CaleKNewell,SantaRosaFlyers,14A,24,3,5,8
JulianCCasano,SantaRosaFlyers,14A,22,12,10,22
WilliamDPikey,SantaRosaFlyers,14A,25,2,3,5
ZacharyCruz,SantaRosaFlyers,14A,23,8,22,30
LeviEQuinn,SantaRosaFlyers,14A,25,1,1,2
TheodoreJDay,SantaRosaFlyers,14A,26,16,19,35
ErikBSombs,SantaRosaFlyers,14A,26,8,10,18
MatteoDEngles,SantaRosaFlyers,14A,25,13,12,25
SheaMTamura,SantaRosaFlyers,14A,24,7,14,21
ThomasJGagnebin,SantaRosaFlyers,14A,22,3,4,7
WilliamGTedeschi,SantaRosaFlyers,14A,8,0,0,0
AddisonMHeinze,SantaRosaFlyers,14A,23,0,0,0
IsaiahSZumwalt,SantaRosaFlyers,14A,26,0,0,0
CamdenAMills,SantaRosaFlyers,14A,23,37,11,48
StellaABoutrous,OaklandBears,14B,3,0,0,0
MaverickWClark,CupertinoCougars,14B,18,2,1,3
GabrielleRGaspard,CupertinoCougars,14B,18,0,1,1
Michael-AngeloASijher,OaklandBears,14B,12,0,0,0
Michael-AngeloASijher,OaklandBears,14A,9,0,1,1
CharlesHWeber,SanMateoBlackStars,14B,23,19,12,31
CharlesEAmit-Guite,OaklandBears,14B,16,13,5,18
PaxtonOCronin,OaklandBears,14B,19,2,2,4
AlbertDReyes,VacavilleJets,14B,22,17,11,28
OwenMTurk,FresnoJrMonsters,14B,25,20,22,42
PatrickRCole,SantaClaraBlackhawks,14B,20,6,3,9
FialaASchlosser,RenoIce,14A,9,0,0,0
EndreHorvath,VacavilleJets,14A,11,6,0,6
StasErshov,SanJoseJrSharks,14A,5,0,1,1
KyleGiang,SanFranciscoSabercats,14B,11,1,6,7
WilliamSStevenson,CupertinoCougars,14A,15,4,2,6
WilliamSStevenson,CupertinoCougars,14B,2,6,2,8
BraydenJObad,CapitalThunder,14B,17,1,2,3
JamesRStiles,RenoIce,14A,3,0,0,0
AustinLWallen,FresnoJrMonsters,14B,14,2,9,11
JulianPLoudon,SanJoseJrSharks,14A,15,0,0,0
DominicIRosales,OaklandBears,14B,7,0,0,0
QuincyEAdams,SantaClaraBlackhawks,14B,9,2,2,4
WalterJKane,OaklandBears,14B,2,0,0,0
ZacharyCElias,SanFranciscoSabercats,14B,7,1,2,3
TannerRBeck,CapitalThunder,14B,5,2,2,4
MichaelDLaine,SantaClaraBlackhawks,14B,4,0,0,0
NateEidt,OaklandBears,14A,3,2,1,3
OliviaMHigley,TriValleyBlueDevils,14A,1,0,0,0
