Name,Team,Level,GP,G,A,P
RyanKashkooli,SanJoseJrSharks,10A-1,29,2,5,7,0
OliverAdams,SanJoseJrSharks,10A-3,35,5,7,12,0
JacksonPark,SanJoseJrSharks,10A-3,35,3,2,5,0
JacksonJBunker,SanJoseJrSharks,10A-3,33,18,13,31,0
AnthonyEPinonIII,SanJoseJrSharks,10A-3,35,2,4,6,0
KieranEClark,SanJoseJrSharks,10A-3,34,18,10,28,0
JaxonHCuascut,SanJoseJrSharks,10A-3,34,11,18,29,0
WilliamRalls,SanJoseJrSharks,10A-3,1,0,0,0,33
DominicDelaye,SanJoseJrSharks,10A-3,35,5,3,8,0
RiverWThornton,SanJoseJrSharks,10A-3,32,32,14,46,0
LuxLEstrada,SanJoseJrSharks,10A-3,33,3,9,12,2
LoganJUbando,SanJoseJrSharks,10A-3,35,26,14,40,0
RyderJue,SanJoseJrSharks,10A-3,34,24,14,38,0
JerryLYang,SanJoseJrSharks,10A-3,31,21,16,37,0
RomanZaichenko,SanJoseJrSharks,10A-3,35,35,30,65,0
KenjiMMacDonald,TriValleyBlueDevils,10A-2,23,12,7,19,5
MasonWFehlmann,TriValleyBlueDevils,10A-2,24,36,20,56,4
GeorgeFu,TriValleyBlueDevils,10A-2,27,9,11,20,0
BrendanTNorrett,TriValleyBlueDevils,10A-2,24,1,10,11,4
HenryWGarner,TriValleyBlueDevils,10A-2,12,6,5,11,15
MaxxSRaser,TriValleyBlueDevils,10A-2,29,28,24,52,0
YichenHong,TriValleyBlueDevils,10A-2,28,13,9,22,0
PavelVoylov,TriValleyBlueDevils,10A-2,29,10,8,18,0
CarsonJKaplenko,TriValleyBlueDevils,10A-2,28,26,34,60,0
RomanVoylov,TriValleyBlueDevils,10A-2,27,1,6,7,2
DamonCKeyser,TriValleyBlueDevils,10A-2,28,12,8,20,0
AidenBartlett-Wayne,VacavilleJets,10BB,23,3,2,5,0
VarvaraKabenina,VacavilleJets,10BB,22,1,3,4,0
AlexanderMBrower,VacavilleJets,10BB,1,2,0,2,22
MaksimKuznetsov,VacavilleJets,10BB,19,3,5,8,3
LucasCLaroche,VacavilleJets,10BB,23,30,6,36,0
WyattOCamba,VacavilleJets,10BB,5,0,1,1,18
ChaxCantu,VacavilleJets,10BB,22,4,1,5,0
JaggerRParker,VacavilleJets,10BB,17,36,6,42,0
AlexanderLCuevas,VacavilleJets,10BB,23,1,2,3,0
RobertTDelgadillo,VacavilleJets,10BB,19,2,1,3,0
HuxleyATurk,VacavilleJets,10BB,23,8,6,14,0
RyderADial,VacavilleJets,10BB,21,1,4,5,0
AshSWaddell,VacavilleJets,10BB,21,2,2,4,0
AnishSJawale,VacavilleJets,10BB,22,1,3,4,0
SpencerEBuckley,RenoIce,10A,21,3,10,13,0
CameronSimanowski,RenoIce,10A,1,0,0,0,20
ConnorDieffenbach,RenoIce,10A,1,0,0,0,0
CamdenDurham,RenoIce,10A,1,0,0,0,0
MichaelDSweatt,RenoIce,10A,21,6,8,14,0
EverettJFriedlander,RenoIce,10A,21,22,12,34,0
ElliottJTousignant,RenoIce,10A,20,8,7,15,0
DeclanPHealy,RenoIce,10A,21,7,4,11,0
LincolnRIsbell,RenoIce,10A,19,1,5,6,0
DeclanPTyrrell,RenoIce,10A,20,2,4,6,0
XanderDMitchell,RenoIce,10A,20,38,12,50,0
HomeUnknownGoalie1,RenoIce,10A,1,0,0,0,0
HomeUnknownGoalie1,SanJoseJrSharks,10A-2,1,0,0,0,0
HomeUnknownGoalie1,SantaRosaFlyers,10BB,1,0,0,0,0
IanOttosen,RenoIce,10A,1,1,0,1,0
JACKWILLIAMS,RenoIce,10A,1,1,0,1,0
JacobJJaber,OaklandBears,10B,23,8,14,22,0
GriffinJLandfair,OaklandBears,10B,22,19,15,34,0
NathanYWang,OaklandBears,10B,23,23,9,32,0
MasonAShelby,OaklandBears,10B,23,41,22,63,0
MichaelDWhite,OaklandBears,10B,9,1,2,3,13
Jordan-DangerSSijher,OaklandBears,10B,16,16,7,23,0
NicholasYansouni,OaklandBears,10B,20,14,18,32,0
ClaireLStauffer,OaklandBears,10B,22,1,3,4,0
JamesKYokomizo,OaklandBears,10B,22,9,7,16,0
EmmaRStauffer,OaklandBears,10B,3,1,2,3,17
CristosSArreguin,CupertinoCougars,10BB,21,0,3,3,0
ConnorRMorita,CupertinoCougars,10BB,16,11,5,16,0
ReeceABurbank,CupertinoCougars,10BB,23,14,7,21,0
AndrewCao,CupertinoCougars,10BB,22,4,5,9,0
KassidyMDellaChiesa,CupertinoCougars,10BB,23,0,2,2,0
EthanLOlivier,CupertinoCougars,10BB,23,8,6,14,0
RoycePDicksonChild,CupertinoCougars,10BB,1,0,0,0,0
ColtonAJones,CupertinoCougars,10BB,21,6,8,14,0
DouglasATilney,CupertinoCougars,10BB,22,9,4,13,0
NoeGToth,CupertinoCougars,10BB,23,28,9,37,0
MaximMarkovich,CupertinoCougars,10BB,22,11,5,16,0
EverettWard,CupertinoCougars,10BB,21,17,7,24,0
DamoZMoore,CupertinoCougars,10BB,22,4,7,11,0
ShaneWu,CupertinoCougars,10BB,23,13,5,18,0
PrianshuBarman,CupertinoCougars,10B,25,30,4,34,0
SamuelBMarkines,CupertinoCougars,10B,21,9,8,17,1
AlexisChan,CupertinoCougars,10B,24,0,2,2,0
MarshallWMockler,CupertinoCougars,10B,11,3,4,7,12
MengxiDeng,CupertinoCougars,10B,25,7,3,10,0
DavidNaulo,CupertinoCougars,10B,22,0,6,6,0
YoavPorat,CupertinoCougars,10B,23,29,11,40,0
RhysQDibble,CupertinoCougars,10B,17,1,0,1,7
GeorgeBSchuett,CupertinoCougars,10B,16,3,7,10,8
KieranDonahue,CupertinoCougars,10B,25,3,5,8,0
RyanDonahue,CupertinoCougars,10B,25,6,8,14,0
LoganXVega,CupertinoCougars,10B,9,0,1,1,15
DylanBGameng,CupertinoCougars,10B,22,11,8,19,0
TimTXia,CupertinoCougars,10B,25,3,3,6,0
AndrewHung,CupertinoCougars,10B,25,0,1,1,0
YuZhu,CupertinoCougars,10B,17,0,2,2,0
DmitriiBlashkov,SantaClaraBlackhawks,10B,28,1,4,5,0
OdinNiskala,SantaClaraBlackhawks,10B,26,4,2,6,0
NoraGNolan,SantaClaraBlackhawks,10B,22,0,0,0,0
MaxwellBrouk,SantaClaraBlackhawks,10B,26,7,8,15,0
NoahBrouk,SantaClaraBlackhawks,10B,25,14,4,18,0
RioJRodriguez,SantaClaraBlackhawks,10B,26,8,5,13,0
JoshuaMFoisy,SantaClaraBlackhawks,10B,27,1,3,4,0
AjayBJanardhanan,SantaClaraBlackhawks,10B,21,2,3,5,0
ScottCSimmers,SantaClaraBlackhawks,10B,24,3,5,8,0
MartinXu,SantaClaraBlackhawks,10B,22,6,4,10,0
DylanLu,SantaClaraBlackhawks,10B,28,1,3,4,0
GavinYYang,SantaClaraBlackhawks,10B,27,11,6,17,0
AbbieXZhang,SantaClaraBlackhawks,10B,23,3,3,6,0
NikitaAksyonov,OaklandBears,10B,22,8,3,11,0
GavinMGordon,OaklandBears,10B,27,5,6,11,0
GiannaBernardino,OaklandBears,10B,26,1,8,9,0
AudreyLew,OaklandBears,10B,27,56,14,70,0
JacksonEElliott,OaklandBears,10B,3,2,4,6,23
EthanLiu,OaklandBears,10B,26,23,6,29,0
JasonTFeinberg,OaklandBears,10B,23,21,12,33,0
CeidricLWaldspurger,OaklandBears,10B,24,2,8,10,0
ThanhGiao,OaklandBears,10B,23,24,12,36,4
KaiAllison,SantaRosaFlyers,10BB,29,1,1,2,0
CyrusFellman,SantaRosaFlyers,10BB,2,0,0,0,0
CarstenMAnfinson,SantaRosaFlyers,10BB,27,34,17,51,0
ZacharyLGagnebin,SantaRosaFlyers,10BB,28,6,14,20,0
WilliamTHudson,SantaRosaFlyers,10BB,4,1,1,2,23
OwenAnfinson,SantaRosaFlyers,10BB,1,0,0,0,0
TajRLopez,SantaRosaFlyers,10BB,28,5,1,6,0
LukeBruckbauer,SantaRosaFlyers,10BB,2,0,0,0,0
JacobALower,SantaRosaFlyers,10BB,25,14,13,27,0
WilliamPerez,SantaRosaFlyers,10BB,3,0,0,0,0
ElizabethCarlin-Goldberg,SantaRosaFlyers,10BB,28,0,2,2,0
RowanERogers-Lockwood,SantaRosaFlyers,10BB,30,6,4,10,0
NatalieCarlin-Goldberg,SantaRosaFlyers,10BB,26,0,1,1,0
FletcherSeifert,SantaRosaFlyers,10BB,2,0,0,0,0
TheodorCarlin-Goldberg,SantaRosaFlyers,10BB,29,1,4,5,0
ElliotCharest,SantaRosaFlyers,10BB,29,43,24,67,0
ValerieZTeborek,SantaRosaFlyers,10BB,28,1,3,4,0
AvaAdalja,SanJoseJrSharks,10A-2,28,0,1,1,0
WilliamChan,SanJoseJrSharks,10A-2,28,12,8,20,0
ZiqiMeng,SanJoseJrSharks,10A-2,29,53,11,64,0
BrodyCChaves,SanJoseJrSharks,10A-2,28,22,14,36,0
LouisTMoreels,SanJoseJrSharks,10A-2,27,0,1,1,0
LucaACombellas,SanJoseJrSharks,10A-2,29,7,5,12,0
CodyJDamico,SanJoseJrSharks,10A-2,27,8,6,14,0
KacperRymkowski,SanJoseJrSharks,10A-2,26,6,10,16,0
RiverCGeorgii,SanJoseJrSharks,10A-2,28,20,5,25,0
HarrisonTXavier,SanJoseJrSharks,10A-2,28,18,12,30,0
BentleyHerrgott,SanJoseJrSharks,10A-2,28,4,3,7,0
DaehweeKim,SanJoseJrSharks,10A-2,29,9,10,19,0
JoshuaTBrown,StocktonColts,10A,13,6,6,12,17
RyanJHazelwood,StocktonColts,10A,30,0,5,5,0
WestleyEBuchanan,StocktonColts,10A,29,4,9,13,0
DaltonELenhardt,StocktonColts,10A,30,43,20,63,0
NicolasJBurciaga,StocktonColts,10A,30,17,13,30,0
JeremyAMayes,StocktonColts,10A,29,17,4,21,0
AbelJCasale,StocktonColts,10A,6,0,1,1,24
OrrinBNelsonIV,StocktonColts,10A,28,2,7,9,0
Solomon-PaulCheun,StocktonColts,10A,28,1,4,5,0
OwenCColao,StocktonColts,10A,28,43,22,65,0
PhillipDParsons,StocktonColts,10A,30,3,6,9,0
KrosbieRDelgado,StocktonColts,10A,26,10,6,16,0
MerrillERobitaille,StocktonColts,10A,30,14,6,20,0
MichaelJGuindon,StocktonColts,10A,30,14,8,22,0
CarterJSanders,StocktonColts,10A,30,9,7,16,0
BenjaminLHarrell,StocktonColts,10A,30,7,5,12,0
MichihisaCAmagata,SantaClaraBlackhawks,10A,25,27,8,35,0
ArcherLi,SantaClaraBlackhawks,10A,25,2,5,7,0
AdvikZAnand,SantaClaraBlackhawks,10A,25,11,4,15,0
PrestonPMacHado,SantaClaraBlackhawks,10A,25,4,8,12,0
JohnNCanoyerIV,SantaClaraBlackhawks,10A,25,21,5,26,0
KristinaRabodzey,SantaClaraBlackhawks,10A,23,0,5,5,0
ZiyadMElhawary,SantaClaraBlackhawks,10A,25,2,3,5,0
IsabelKIvester,SantaClaraBlackhawks,10A,24,3,3,6,0
FelixFRoe,SantaClaraBlackhawks,10A,24,13,4,17,0
BrysenIKhuong,SantaClaraBlackhawks,10A,21,0,2,2,0
EverettSong,SantaClaraBlackhawks,10A,25,7,6,13,0
AlexanderLamfalusi,CupertinoCougars,10A,15,2,4,6,11
JiachengLi,CupertinoCougars,10A,26,2,1,3,0
EastonKDekeyrel,CupertinoCougars,10A,27,19,29,48,0
ElliottMDumont,CupertinoCougars,10A,27,31,18,49,0
ElissaMMooreKnight,CupertinoCougars,10A,24,3,3,6,0
AriaSFilson,CupertinoCougars,10A,26,2,8,10,0
PhillipDMueller,CupertinoCougars,10A,26,3,5,8,0
BryceLGelb,CupertinoCougars,10A,27,0,6,6,0
LandonIPacleb,CupertinoCougars,10A,26,5,2,7,0
MatteoJHaro,CupertinoCougars,10A,27,34,12,46,0
IanSue,CupertinoCougars,10A,27,6,7,13,0
NickHe,CupertinoCougars,10A,27,9,6,15,0
JaceSunseri,CupertinoCougars,10A,27,6,8,14,0
RichardYIshibashi,CupertinoCougars,10A,26,2,1,3,0
NikolaiJVisneski,CupertinoCougars,10A,4,1,1,2,21
McCBachYRita,SanFranciscoSabercats,10A,27,2,5,7,0
AveryCLewis,SanFranciscoSabercats,10A,17,2,2,4,12
TeoABettendorff,SanFranciscoSabercats,10A,28,13,8,21,0
KoaMcGoldrick,SanFranciscoSabercats,10A,27,6,2,8,0
RyanEChan,SanFranciscoSabercats,10A,30,7,8,15,0
NoahMin,SanFranciscoSabercats,10A,7,5,7,12,24
AtlasUErol,SanFranciscoSabercats,10A,30,20,10,30,0
LeeamRFliker,SanFranciscoSabercats,10A,28,5,5,10,0
RadhaCSmith,SanFranciscoSabercats,10A,30,1,8,9,0
GibsonSGeddes,SanFranciscoSabercats,10A,29,3,4,7,0
WilliamJVandenTop,SanFranciscoSabercats,10A,29,7,7,14,0
IzzyJacobson,SanFranciscoSabercats,10A,31,28,16,44,0
OliverSWells,SanFranciscoSabercats,10A,31,21,18,39,0
AlexanderKrepkiy,SanFranciscoSabercats,10A,28,24,13,37,0
RyderAlexandrovich,LakeTahoeGrizzlies,10B,18,3,3,6,0
CatalinaCDuvoisin,LakeTahoeGrizzlies,10B,20,1,2,3,0
FinnBudgell,LakeTahoeGrizzlies,10B,7,0,0,0,13
JacksonJFiceto,LakeTahoeGrizzlies,10B,19,13,0,13,0
SadieBudgell,LakeTahoeGrizzlies,10B,18,7,6,13,0
JolieAGordon,LakeTahoeGrizzlies,10B,14,0,1,1,0
BodhiBurkholder,LakeTahoeGrizzlies,10B,20,8,2,10,0
JacobMPillsbury,LakeTahoeGrizzlies,10B,14,1,1,2,0
SpencerCChavarria,LakeTahoeGrizzlies,10B,13,8,0,8,7
MiaWatada,LakeTahoeGrizzlies,10B,20,1,5,6,0
AleckMChrist,LakeTahoeGrizzlies,10B,20,6,6,12,0
EvanJKirk,VacavilleJets,10BB,22,3,2,5,0
IanJOkelley,TriValleyBlueDevils,10BB,11,3,3,6,0
HaleyMMartinez,CapitalThunder,10A,25,0,3,3,0
ConnorRBolan,CapitalThunder,10A,25,14,7,21,0
WilliamRMcCuaig,CapitalThunder,10A,25,1,2,3,0
BenicioPCaceres,CapitalThunder,10A,25,5,10,15,0
JacksonEPowers,CapitalThunder,10A,24,4,4,8,0
TuckerKEngelman,CapitalThunder,10A,24,3,1,4,0
DexSFesai,CapitalThunder,10A,23,2,1,3,0
BrendanMRogers,CapitalThunder,10A,25,29,11,40,0
ThomasDGoshko,CapitalThunder,10A,23,1,4,5,0
RexGVryheid,CapitalThunder,10A,25,21,19,40,0
SamuelHHodel,CapitalThunder,10A,25,30,12,42,0
EnriqueJZamora-Bryant,CapitalThunder,10A,24,2,4,6,0
ReeceWJones,CapitalThunder,10A,25,13,4,17,0
LukeJBruckbauer,SantaRosaFlyers,10BB,28,21,9,30,0
ChylesGParsonsCamp,SantaRosaFlyers,10BB,18,2,3,5,0
WilliamCPerez,SantaRosaFlyers,10BB,26,1,0,1,1
FletcherWSeifert,SantaRosaFlyers,10BB,22,0,2,2,0
CyrusTFellman,SantaRosaFlyers,10BB,28,0,0,0,0
LoganWWardturko,SantaRosaFlyers,10BB,22,0,1,1,0
CoryZWebb,SanMateoBlackStars,10B,25,37,9,46,0
AnthonyLChen,OaklandBears,10B,17,3,7,10,0
BraydenKChen,OaklandBears,10B,17,2,2,4,0
JudeSAndaverde,FresnoJrMonsters,10BB,26,0,6,6,0
CalibJJames,TriValleyBlueDevils,10A-1,14,6,7,13,5
PatrickJMorton,CupertinoCougars,10BB,18,3,5,8,0
ElliotTBeauchemin,LakeTahoeGrizzlies,10B,17,1,1,2,0
RianSPatel,LakeTahoeGrizzlies,10B,17,0,1,1,0
CamdenMDurham,RenoIce,10A,19,15,6,21,0
IanKOttosen,RenoIce,10A,19,5,5,10,0
PerryJWilliams,RenoIce,10A,20,12,9,21,0
MonroeMIwanaga,SantaClaraBlackhawks,10B,8,24,6,30,8
XiangtianLiu,SantaClaraBlackhawks,10B,21,6,1,7,0
BlakeThayer,SanJoseJrSharks,10B-2,20,0,2,2,0
AkselEGunder,SantaRosaFlyers,10BB,3,0,2,2,25
RosalynnBailey,TriValleyBlueDevils,10BB,23,3,3,6,0
SpencerJSeacrist,CapitalThunder,10A,23,1,1,2,0
MarkOrlov,SanJoseJrSharks,10A-1,29,4,1,5,0
OwenLHannan,SanJoseJrSharks,10A-1,29,1,3,4,0
LandonSutton,SanJoseJrSharks,10A-1,28,15,6,21,0
AlexanderLiu,SanJoseJrSharks,10A-1,29,7,8,15,0
CarstenAnfinson,SantaRosaFlyers,10BB,3,3,2,5,0
JacobLower,SantaRosaFlyers,10BB,1,0,0,0,0
CharlotteDDuffy,TriValleyBlueDevils,10BB,24,2,1,3,0
MakaylaCooney,TriValleyBlueDevils,10BB,1,0,0,0,0
ZacharySMasquelier,OaklandBears,10B,19,16,8,24,0
JONAHJACOBSON,SanFranciscoSabercats,10A,1,0,0,0,0
MakaylaRCooney,TriValleyBlueDevils,10BB,11,1,1,2,9
KaiaLam,SanJoseJrSharks,10B-1,24,0,4,4,0
ConnorADieffenbach,RenoIce,10A,18,1,1,2,0
BenjaminTHsia,SanFranciscoSabercats,10A,21,0,1,1,0
AidanLechner,OaklandBears,10B,22,8,7,15,0
KadenKlise,FresnoJrMonsters,10BB,7,3,2,5,0
RylandLain,RenoIce,10A,12,2,0,2,0
WyattMoen,LakeTahoeGrizzlies,10B,6,0,0,0,0
JakeBertao,FresnoJrMonsters,10BB,13,6,4,10,0
MatthewWHutchison,FresnoJrMonsters,10BB,12,2,3,5,0
JensenAHuot,SanFranciscoSabercats,10A,2,0,0,0,0
BorsaMorPlasztan,CupertinoCougars,10BB,3,0,0,0,1
EvaFRicci,SanFranciscoSabercats,10A,1,0,0,0,0
RomainLucas,SanFranciscoSabercats,10A,1,0,0,0,0
OwenJMartin,SanFranciscoSabercats,10A,1,0,0,0,0
