Name,Team,Level,GP,G,A,P
IonaYMcRitchie,SanMateoBlackStars,10BB,32,4,2,6,0
JayLMendoza,SanMateoBlackStars,10BB,32,25,6,31,0
MichelleVChin,SanMateoBlackStars,10BB,30,0,2,2,0
JordanJMorris,SanMateoBlackStars,10BB,31,12,9,21,0
TabithaKDejelo,SanMateoBlackStars,10BB,32,5,4,9,0
AlexanderMorrisonWells,SanMateoBlackStars,10BB,31,1,4,5,0
BradyWFletcher,SanMateoBlackStars,10BB,27,1,4,5,1
GiovanniCRizzi,SanMateoBlackStars,10BB,25,0,3,3,0
CallenFong,SanMateoBlackStars,10BB,30,7,5,12,0
EishinSuhara,SanMateoBlackStars,10BB,32,14,4,18,0
ByoungchanKim,SanMateoBlackStars,10BB,32,30,12,42,0
BowenWang,SanMateoBlackStars,10BB,32,28,12,40,0
EvelynRLang,SanMateoBlackStars,10BB,32,23,14,37,0
HaydenCWong,SanMateoBlackStars,10BB,31,1,1,2,0
CoraJMcGregor,SanMateoBlackStars,10BB,31,14,20,34,0
BodenEvjenth,SanJoseJrSharks,10B-1,29,14,6,20,0
EllisCPersson,SanJoseJrSharks,10B-1,31,20,2,22,0
JaydenTRamos,SanJoseJrSharks,10B-1,30,2,9,11,0
NikolaSvircic,SanJoseJrSharks,10B-1,31,12,5,17,0
EirikAHotz,SanJoseJrSharks,10B-1,30,10,10,20,0
TysonJUrbaniak,SanJoseJrSharks,10B-1,29,7,4,11,0
CadenWelsch,SanJoseJrSharks,10B-1,31,32,17,49,0
AlexanderMLucas,SanJoseJrSharks,10B-1,29,21,8,29,0
EmmaAXue,SanJoseJrSharks,10B-1,27,0,7,7,0
ZakariyaSMirza,SanJoseJrSharks,10B-1,29,19,7,26,0
ZhiKengYue,SanJoseJrSharks,10B-1,30,11,11,22,0
ListonHPenningtonV,SanJoseJrSharks,10B-1,25,2,3,5,0
JacobBernstein,FresnoJrMonsters,10BB,26,56,18,74,1
GarikTMoore,FresnoJrMonsters,10BB,25,13,15,28,2
DylanJCooper,FresnoJrMonsters,10BB,24,15,11,26,3
HunterRGreene,FresnoJrMonsters,10BB,27,4,10,14,0
ZakirAPailing,FresnoJrMonsters,10BB,27,3,14,17,0
JeremiahETamayo,FresnoJrMonsters,10BB,24,5,7,12,0
MarcusAHernandez,FresnoJrMonsters,10BB,27,0,9,9,0
EmilyTodd,FresnoJrMonsters,10BB,27,4,5,9,0
HenryALickey,FresnoJrMonsters,10BB,27,3,7,10,0
ColtonVanbragt,FresnoJrMonsters,10BB,3,3,3,6,23
JacksonWLaskowski,SanJoseJrSharks,10B-2,25,1,0,1,0
EvanLiu,SanJoseJrSharks,10B-2,26,3,4,7,0
VincenzoJBrezzo,SanJoseJrSharks,10B-2,22,17,3,20,0
NolanNMorris,SanJoseJrSharks,10B-2,24,5,1,6,0
JacobLCarlos,SanJoseJrSharks,10B-2,23,1,5,6,0
MarvinHChen,SanJoseJrSharks,10B-2,25,8,5,13,0
CooperGEastman,SanJoseJrSharks,10B-2,25,2,4,6,0
KevinZhao,SanJoseJrSharks,10B-2,26,4,2,6,0
SidneyMKent,SanJoseJrSharks,10B-2,25,0,3,3,0
YichenZhu,SanJoseJrSharks,10B-2,25,10,7,17,0
WilliamKim,SanJoseJrSharks,10B-2,25,2,4,6,1
KyleZhuang,SanJoseJrSharks,10B-2,25,29,9,38,0
ErelNKrasner,SanMateoBlackStars,10B,28,2,0,2,0
AnthonyMBonomo,SanMateoBlackStars,10B,28,14,9,23,0
RowanRPorter,SanMateoBlackStars,10B,26,0,2,2,0
MarcoPStaples,SanMateoBlackStars,10B,25,8,7,15,0
MickeySHuang,SanMateoBlackStars,10B,24,0,4,4,0
AidenPWhite,SanMateoBlackStars,10B,6,1,2,3,19
PatrickCHuang,SanMateoBlackStars,10B,20,1,6,7,0
RyanRZhang,SanMateoBlackStars,10B,26,19,11,30,2
RickeyLHuang,SanMateoBlackStars,10B,24,1,9,10,0
BeatriceELewis,TriValleyBlueDevils,10BB,27,2,2,4,0
LeightonDAsprooth,TriValleyBlueDevils,10BB,26,17,12,29,0
GracelynANilsson,TriValleyBlueDevils,10BB,6,0,0,0,21
LoganECaputo,TriValleyBlueDevils,10BB,25,3,2,5,0
MarkReznikov,TriValleyBlueDevils,10BB,27,18,3,21,0
DexterLChen,TriValleyBlueDevils,10BB,24,5,2,7,1
ZvaKTaylor,TriValleyBlueDevils,10BB,24,12,10,22,0
MorganGCho,TriValleyBlueDevils,10BB,27,50,8,58,0
SimonATeames,TriValleyBlueDevils,10BB,24,2,1,3,0
ColtonKDavid,TriValleyBlueDevils,10BB,24,1,5,6,0
AadhanKVelavan,TriValleyBlueDevils,10BB,27,7,7,14,0
NickAllen,TriValleyBlueDevils,10A-1,25,27,13,40,0
RyanNicholas,TriValleyBlueDevils,10A-1,24,12,11,23,0
FrancisBoutet,TriValleyBlueDevils,10A-1,20,18,10,28,5
ChaseJOffers,TriValleyBlueDevils,10A-1,24,10,15,25,0
NicholasEEdwards,TriValleyBlueDevils,10A-1,24,13,17,30,0
VictorPlatonov,TriValleyBlueDevils,10A-1,24,16,19,35,0
AliGad,TriValleyBlueDevils,10A-1,25,13,4,17,0
MarkusGHatol,TriValleyBlueDevils,10A-1,23,13,6,19,0
JaxonWSilva,TriValleyBlueDevils,10A-1,13,0,5,5,12
EnriqueGMartinez,TriValleyBlueDevils,10A-1,25,15,18,33,0
TannerHZhao,TriValleyBlueDevils,10A-1,23,12,12,24,0
MasonDMcKone,TriValleyBlueDevils,10A-1,24,11,10,21,0
RyanJMaisen,SanJoseJrSharks,10A-1,30,19,15,34,0
MaximilianHCadil,SanJoseJrSharks,10A-1,30,0,0,0,0
JonathanEMar,SanJoseJrSharks,10A-1,28,15,10,25,0
JesseChu,SanJoseJrSharks,10A-1,28,0,5,5,0
VsevolodMikheev,SanJoseJrSharks,10A-1,30,12,6,18,0
LeviJGreenwood,SanJoseJrSharks,10A-1,30,5,10,15,0
LukeBPeterson,SanJoseJrSharks,10A-1,30,16,31,47,0
OscarNPoupyrev,SanJoseJrSharks,10A-1,30,15,5,20,0
TadeoHernandez,SanJoseJrSharks,10A-1,30,7,9,16,0
JunEPruett,SanJoseJrSharks,10A-1,29,24,15,39,0
