Name,Team,Level,GP,G,A,P
SaimiPesola,SanJoseJrSharksGirls,12AA,22,0,0,0
LilianaMClark,SanJoseJrSharksGirls,12AA,23,0,7,7
BaileyIWatson,SanJoseJrSharksGirls,12AA,22,0,0,0
LeilaCColeman,SanJoseJrSharksGirls,12AA,23,0,3,3
LiliaAustin,SanJoseJrSharksGirls,12AA,19,4,7,11
AliciaCFoland,SanJoseJrSharksGirls,12AA,23,2,3,5
SeraSPittis,SanJoseJrSharksGirls,12AA,18,12,7,19
EllieTHaratani,SanJoseJrSharksGirls,12AA,22,11,4,15
ChloeAPowell,SanJoseJrSharksGirls,12AA,22,7,6,13
DahliaLKenny,SanJoseJrSharksGirls,12AA,22,7,6,13
Li-AnYe,SanJoseJrSharksGirls,12AA,22,1,1,2
CamillaMangadu,SanJoseJrSharksGirls,12AA,21,15,4,19
AshleyYoung,SanJoseJrSharksGirls,12AA,21,3,4,7
SierraAMartinez,SanJoseJrSharksGirls,12AA,21,13,6,19
AdelineCBallester,SanJoseJrSharksGirls,12AA,23,2,9,11
EthanBilardello,SanJoseJrSharks,12A-2,33,0,0,0
NolanKing,SanJoseJrSharks,12A-2,33,13,12,25
MaxwellTemple,SanJoseJrSharks,12A-2,32,1,0,1
KendalNagaye,SanJoseJrSharks,12A-2,33,1,4,5
RileyNagaye,SanJoseJrSharks,12A-2,32,1,2,3
NotSignedIn,TriValleyBlueDevils,12A-2,5,0,0,0
NotSignedIn,SanJoseJrSharks,12A-2,1,1,1,2
BradyTHerrgott,SanJoseJrSharks,12A-2,32,17,9,26
BraydenEPacleb,SanJoseJrSharks,12A-2,33,5,9,14
CallumOrtiz,SanJoseJrSharks,12A-2,32,11,25,36
NikitaMorosan,SanJoseJrSharks,12A-2,32,13,8,21
MilesRoberts,SanJoseJrSharks,12A-2,33,17,8,25
WinstonBennette,SanJoseJrSharks,12A-2,32,39,12,51
IndianaLaskowski,SanJoseJrSharks,12A-2,30,0,3,3
GabrielJCombellas,SanJoseJrSharks,12A-2,33,6,10,16
OwenGarcia,SanJoseJrSharks,12A-2,32,12,11,23
JacobChu,SanJoseJrSharks,12A-2,32,6,3,9
DevinBeckett,TriValleyBlueDevils,12A-2,11,2,5,7
MichaelRAckerman,TriValleyBlueDevils,12A-2,9,9,7,16
LandonWBergman,TriValleyBlueDevils,12A-2,9,3,2,5
LairdBSpaulding,TriValleyBlueDevils,12A-2,11,2,4,6
SamuelBoutet,TriValleyBlueDevils,12A-2,13,19,10,29
LachlanJSpaulding,TriValleyBlueDevils,12A-2,11,2,5,7
TyByrd,TriValleyBlueDevils,12A-2,10,5,7,12
KylePCurrier,TriValleyBlueDevils,12A-2,11,6,8,14
DenisWolf,TriValleyBlueDevils,12A-2,10,1,0,1
JacobCFoisy,TriValleyBlueDevils,12A-2,11,10,7,17
ZedricWong,TriValleyBlueDevils,12A-2,9,1,1,2
AlexanderJLemoine,TriValleyBlueDevils,12A-2,11,1,4,5
YuejiaWang,SanJoseJrSharksGirls,12AA,22,0,4,4
LucaAdornato,TriValleyBlueDevils,12A-2,9,5,8,13
JacobJVukman,TriValleyBlueDevils,12A-2,7,4,3,7
ColinJGall,TriValleyBlueDevils,12A-2,9,0,0,0
ZhongyangYin,SanJoseJrSharks,12A-2,32,8,9,17
NoaBernstein,OaklandBears,12BB,19,0,0,0
JayashreeParadisoNakra,OaklandBears,12BB,20,1,3,4
LeonardoDBowman,OaklandBears,12BB,18,8,1,9
JosePumarino,OaklandBears,12BB,16,5,1,6
JackLaplante,OaklandBears,12BB,16,0,3,3
RoryTWalter,OaklandBears,12BB,19,8,3,11
AlexanderNeugebauer,OaklandBears,12BB,20,3,3,6
DanielZermeno,OaklandBears,12BB,20,6,5,11
GradyGAddleman,SantaRosaFlyers,12BB,29,29,13,42
CavanMullen,SantaRosaFlyers,12BB,29,2,5,7
LilyJBreckenridge,SantaRosaFlyers,12BB,18,4,4,8
CaleKNewell,SantaRosaFlyers,12BB,25,5,10,15
AlessioLCacchi,SantaRosaFlyers,12BB,29,3,6,9
CharlesACavagnaIv,SantaRosaFlyers,12BB,26,8,8,16
LucasMPetterssen,SantaRosaFlyers,12BB,27,18,10,28
DanielChang,SantaRosaFlyers,12BB,29,40,20,60
WilliamDPikey,SantaRosaFlyers,12BB,29,4,6,10
TristynKCosta,SantaRosaFlyers,12BB,29,0,7,7
LeviEQuinn,SantaRosaFlyers,12BB,29,2,7,9
EricsonLRummel,SantaRosaFlyers,12BB,29,19,17,36
ThomasJGagnebin,SantaRosaFlyers,12BB,27,9,3,12
AndrewGunter,SantaRosaFlyers,12BB,21,0,1,1
BenjaminSpring,SantaRosaFlyers,12BB,25,3,5,8
AidenLower,SantaRosaFlyers,12BB,28,2,3,5
OscarLUrioste,SantaRosaFlyers,12BB,23,3,6,9
VihaanAgrawal,TriValleyBlueDevils,12BB,31,19,11,30
MaddoxWOrmsby,TriValleyBlueDevils,12BB,31,1,6,7
RiyaanAmin,TriValleyBlueDevils,12BB,31,0,7,7
JaydenPaek,TriValleyBlueDevils,12BB,31,4,2,6
EasonCao,TriValleyBlueDevils,12BB,30,4,5,9
GrantPaper,TriValleyBlueDevils,12BB,31,20,16,36
TahliaRCathers,TriValleyBlueDevils,12BB,30,0,11,11
ParkerRCrudale,TriValleyBlueDevils,12BB,31,18,7,25
ThomasGSotto,TriValleyBlueDevils,12BB,31,9,10,19
LoganDelancey,TriValleyBlueDevils,12BB,31,0,0,0
BlakeStanley,TriValleyBlueDevils,12BB,30,8,7,15
PadraicSDwyer,TriValleyBlueDevils,12BB,31,1,3,4
HaydenSTerry,TriValleyBlueDevils,12BB,29,0,0,0
AaravGanesh,TriValleyBlueDevils,12BB,31,1,7,8
JasperHoffman,TriValleyBlueDevils,12BB,31,16,9,25
JamesBahrenburg,FresnoJrMonsters,12BB,21,5,3,8
GeorgeGMadec,FresnoJrMonsters,12BB,20,6,5,11
EllenDouglas,FresnoJrMonsters,12BB,21,8,6,14
AustinPlummer,FresnoJrMonsters,12BB,17,1,6,7
BrycinEstes,FresnoJrMonsters,12BB,1,0,0,0
TylerRScott,FresnoJrMonsters,12BB,16,4,7,11
PeterDKalina,FresnoJrMonsters,12BB,21,5,12,17
BarrettLSmith,FresnoJrMonsters,12BB,21,17,9,26
ColtonKey,FresnoJrMonsters,12BB,18,1,7,8
JacksonDLee,FresnoJrMonsters,12BB,20,2,1,3
EthanWWoods,FresnoJrMonsters,12BB,18,6,6,12
JoshuaRaphaelRAguilar,SanFranciscoSabercats,12B,20,5,7,12
LukeJKim,SanFranciscoSabercats,12B,21,2,1,3
MaximillianJLevin,SanFranciscoSabercats,12B,18,2,7,9
NicholasHBausman,SanFranciscoSabercats,12B,21,26,2,28
DavidASass,SanFranciscoSabercats,12B,12,0,0,0
GebreCDadresOman,SanFranciscoSabercats,12B,13,0,1,1
NathanESwitenki,SanFranciscoSabercats,12B,19,8,4,12
AlvinHo,SanFranciscoSabercats,12B,20,1,4,5
JacobHuynh,SanFranciscoSabercats,12B,21,2,2,4
HarringtonYeh,SanFranciscoSabercats,12B,22,1,1,2
EmikoJones,SanFranciscoSabercats,12B,22,0,0,0
GabrielAArreguin,CupertinoCougars,12BB,18,0,1,1
AlexanderPMackenzie,CupertinoCougars,12BB,17,5,5,10
TimothyChan,CupertinoCougars,12BB,19,1,3,4
NicholasMyagkov,CupertinoCougars,12BB,18,13,8,21
DennisFrenkel,CupertinoCougars,12BB,18,1,5,6
JohnathanGraham,CupertinoCougars,12BB,19,7,10,17
GiuliaPSmith,CupertinoCougars,12A,18,5,10,15
GiuliaPSmith,CupertinoCougars,12BB,1,0,3,3
LucasSJackson,CupertinoCougars,12BB,17,1,6,7
AlisaTarnikova,CupertinoCougars,12BB,17,1,5,6
DevinMThai,CupertinoCougars,12BB,19,9,5,14
DannyKremnitser,CupertinoCougars,12BB,18,2,4,6
YotaroCKuwajima,CupertinoCougars,12BB,14,2,2,4
VictorWZhang,CupertinoCougars,12BB,19,16,8,24
HenrySLonnemann,CupertinoCougars,12BB,19,0,0,0
ElwenMZhao,CupertinoCougars,12BB,18,11,4,15
BradyAPollard,SanJoseJrSharks,12A-2,4,0,1,1
BodieKenny,SanJoseJrSharks,12A-2,30,16,8,24
NathanGBureaux,StocktonColts,12A,24,3,12,15
JacksonTLenhardt,StocktonColts,12A,24,10,9,19
LandonGCorcoran,StocktonColts,12A,24,21,18,39
MathiasVMartinez,StocktonColts,12A,23,6,5,11
JackCrivelli,StocktonColts,12A,24,0,1,1
IzackAParsons,StocktonColts,12A,24,48,13,61
ElleEDelgado,StocktonColts,12A,24,13,11,24
SebastianPerez,StocktonColts,12A,23,5,12,17
BraydenTSchneider,StocktonColts,12A,23,3,7,10
GrantPDevelbiss,StocktonColts,12A,23,5,11,16
DonovanTSoliven,StocktonColts,12A,21,9,11,20
DarrianJStevens,StocktonColts,12A,19,14,10,24
ZackAKeough,StocktonColts,12A,23,0,1,1
ChristianTaylor,StocktonColts,12A,23,2,5,7
AeneasRAtienza-Washington,OaklandBears,12B,19,2,9,11
OwenALynn,OaklandBears,12B,17,18,14,32
JoshuaRCanepa,OaklandBears,12B,18,8,3,11
DavidLSingh,OaklandBears,12B,19,1,12,13
YanDrobysh,OaklandBears,12B,19,27,20,47
TravisFTsai,OaklandBears,12B,19,10,7,17
JacksonFong,OaklandBears,12B,17,6,5,11
JasonFong,OaklandBears,12B,18,13,8,21
OliverPWelborn,OaklandBears,12B,18,0,0,0
JacksonRHite,OaklandBears,12B,19,15,8,23
KieranJWladyka,OaklandBears,12B,19,5,7,12
HaydenCBrunke,VacavilleJets,12B,23,3,12,15
CaesarAMassari,VacavilleJets,12B,24,1,0,1
AustinKCohen,VacavilleJets,12B,23,12,5,17
JackEMeador,VacavilleJets,12B,19,10,3,13
TroyWHarrold,VacavilleJets,12B,24,6,11,17
EliMeis,VacavilleJets,12B,24,24,17,41
BostonVHeston-Rojas,VacavilleJets,12B,24,3,12,15
AlleoLReyes,VacavilleJets,12B,24,0,0,0
JamesMHoobler,VacavilleJets,12B,24,12,19,31
ConnorAHorn,VacavilleJets,12B,22,10,9,19
NicholasARoss,VacavilleJets,12B,24,10,12,22
JosephKrejci,VacavilleJets,12B,24,4,4,8
ZoeyJWood,VacavilleJets,12B,24,7,15,22
TrevorRLi,VacavilleJets,12B,24,2,1,3
CameronDAsprooth,TriValleyBlueDevils,12A-1,26,9,8,17
WilliamYHuh,TriValleyBlueDevils,12A-1,22,5,8,13
AidanJJames,TriValleyBlueDevils,12A-1,28,41,29,70
JacksonTBailey,TriValleyBlueDevils,12A-1,27,15,20,35
JacksonJBrennan,TriValleyBlueDevils,12A-1,28,0,0,0
EsaiRosado,TriValleyBlueDevils,12A-1,28,21,12,33
DylanMBuurkarl,TriValleyBlueDevils,12A-1,29,15,14,29
AndreiSDuxbury,TriValleyBlueDevils,12A-1,28,2,18,20
OwenLSilva,TriValleyBlueDevils,12A-1,29,22,15,37
JacksonFaulkner,TriValleyBlueDevils,12A-1,27,18,14,32
WilliamVValentine,TriValleyBlueDevils,12A-1,29,21,17,38
AnthonyVBalestrieri,CupertinoCougars,12A,19,22,3,25
MikhailKobrinskii,CupertinoCougars,12A,18,4,0,4
KevinMCaruso,CupertinoCougars,12A,18,0,6,6
KazuhiroJMitra-Kozuka,CupertinoCougars,12A,19,0,0,0
KyleRChen,CupertinoCougars,12A,19,3,10,13
EdwardWMorton,CupertinoCougars,12A,19,2,4,6
EvanChoy,CupertinoCougars,12A,19,3,0,3
AndrewDPeterson,CupertinoCougars,12A,19,1,2,3
DevinMDavis,CupertinoCougars,12A,19,10,11,21
MichaelJPeterson,CupertinoCougars,12A,19,0,1,1
CruzWDelrio,CupertinoCougars,12A,16,2,0,2
RaidenCReynolds,CupertinoCougars,12A,18,2,5,7
ElliottCRizvi,CupertinoCougars,12A,1,0,0,0
ElliottCRizvi,CupertinoCougars,12BB,15,17,7,24
BrianFarrell,CupertinoCougars,12A,13,0,0,0
StanleyTang,CupertinoCougars,12A,19,15,7,22
EthanJHong,CupertinoCougars,12A,18,0,4,4
EvanMYuan,CupertinoCougars,12A,17,1,2,3
PravinVChandra,OaklandBears,12BB,1,0,0,0
KyleGCronin,OaklandBears,12BB,19,1,1,2
NaomiSChou,TriValleyLadyBlueDevils,12AAA,18,0,2,2
LucieSJessop,TriValleyLadyBlueDevils,12AAA,16,3,7,10
CarlyCruce,TriValleyBlueDevils,12A-1,16,0,4,4
CarlyCruce,TriValleyLadyBlueDevils,12AAA,7,0,2,2
CindyLi,TriValleyLadyBlueDevils,12AAA,17,6,3,9
KeiraECurrier,TriValleyBlueDevils,12A-1,1,0,0,0
KeiraECurrier,TriValleyLadyBlueDevils,12AAA,20,3,5,8
JohannaCPineda,TriValleyLadyBlueDevils,12AAA,12,1,1,2
VanyaSharma,TriValleyLadyBlueDevils,12AAA,15,0,0,0
WednesdayCutting,TriValleyLadyBlueDevils,12AAA,18,11,1,12
MadalinePStevens,TriValleyBlueDevils,12A-1,1,0,0,0
MadalinePStevens,TriValleyLadyBlueDevils,12AAA,17,0,0,0
CatherineFeng,TriValleyLadyBlueDevils,12AAA,5,1,1,2
IsabellaWatson,TriValleyLadyBlueDevils,12AAA,19,2,4,6
MikaBHatol,TriValleyLadyBlueDevils,12AAA,16,0,1,1
AvaLWelch,TriValleyLadyBlueDevils,12AAA,20,4,0,4
EvangelineYJefferson,TriValleyLadyBlueDevils,12AAA,18,6,0,6
AmeliaRWoodstock,TriValleyLadyBlueDevils,12AAA,19,1,3,4
CarlosAAyonIi,SanFranciscoSabercats,12A,27,0,0,0
