Name,Team,Level,GP,G,A,P
DanielLBurstein,SanFranciscoSabercats,12B,16,3,0,3
CameronJMacMillan,SanFranciscoSabercats,12A,24,3,3,6
CameronJMacMillan,SanFranciscoSabercats,12B,4,2,2,4
LiamMCallahan,SanFranciscoSabercats,12B,27,0,0,0
NiccoloEllers,SanFranciscoSabercats,12B,26,3,7,10
CassidyNg,SanFranciscoSabercats,12B,28,5,13,18
MajaJEnquist,SanFranciscoSabercats,12B,29,9,4,13
JesseCNwankpa,SanFranciscoSabercats,12B,29,18,5,23
JacobHuynh,SanFranciscoSabercats,12B,29,1,2,3
DavidASass,SanFranciscoSabercats,12B,29,0,0,0
LukeJKim,SanFranciscoSabercats,12B,28,1,5,6
TristanLei,SanFranciscoSabercats,12B,25,1,2,3
RobertJLeung,SanFranciscoSabercats,12B,26,6,1,7
EnzoOWhite,SanFranciscoSabercats,12B,29,53,10,63
MaximillianJLevin,SanFranciscoSabercats,12B,24,7,9,16
EnzoWhite,SanFranciscoSabercats,12B,1,0,0,0
EdgarLouis,SanFranciscoSabercats,12B,28,9,4,13
BenjaminKAkimoto,SantaClaraBlackhawks,12B,31,0,2,2
EzraMaximosHermosura-Villanueva,SantaClaraBlackhawks,12B,26,5,1,6
IsabellaBraddock,SantaClaraBlackhawks,12B,31,2,0,2
PaytonEKoker,SantaClaraBlackhawks,12B,30,1,4,5
AndrewDLaine,SantaClaraBlackhawks,12B,29,0,0,0
BrendanMClark,SantaClaraBlackhawks,12B,31,7,3,10
LiamMMurphy,SantaClaraBlackhawks,12B,31,17,10,27
JamesHEplett,SantaClaraBlackhawks,12B,27,2,2,4
RyanATran,SantaClaraBlackhawks,12B,29,5,5,10
DanielMWang,SantaClaraBlackhawks,12B,30,4,1,5
SofiaSGass,SantaClaraBlackhawks,12B,31,5,7,12
WagnerVWatson,SantaClaraBlackhawks,12B,29,14,10,24
CarterJGrant,SantaClaraBlackhawks,12B,29,2,3,5
DheerenYalamanchi,SantaClaraBlackhawks,12B,30,1,2,3
MikaWGulstone,SantaClaraBlackhawks,12B,30,1,4,5
HannahAYarbrough,SantaClaraBlackhawks,12B,31,0,0,0
JamesVBahrenburg,FresnoJrMonsters,12BB,20,15,7,22
JudeDBarajas,FresnoJrMonsters,12BB,24,0,2,2
OwenJLundgren,FresnoJrMonsters,12BB,21,2,8,10
ZairenCMecartea,FresnoJrMonsters,12BB,24,1,0,1
EllenODouglas,FresnoJrMonsters,12BB,19,11,20,31
DexterAPhillips,FresnoJrMonsters,12BB,23,0,1,1
GraydonJGraveline,FresnoJrMonsters,12BB,21,1,5,6
AllieSanders,FresnoJrMonsters,12BB,22,1,4,5
WaylonWHoag,FresnoJrMonsters,12BB,24,0,0,0
PresleyAScott,FresnoJrMonsters,12BB,22,1,1,2
JamesonAHutchens,FresnoJrMonsters,12BB,18,0,0,0
MichaelSpane,FresnoJrMonsters,12BB,21,0,0,0
PeterDKalina,FresnoJrMonsters,12BB,24,22,19,41
JoshuaPKnapp,FresnoJrMonsters,12BB,22,3,6,9
EthanWWoods,FresnoJrMonsters,12BB,24,49,19,68
NicholasGApostolopoulos,VacavilleJets,12B,23,3,8,11
JakeNMeric,VacavilleJets,12B,23,12,6,18
EmmaChen,VacavilleJets,12B,23,1,5,6
ColtonJReese,VacavilleJets,12B,22,2,8,10
AustinKCohen,VacavilleJets,12B,23,33,7,40
AlleoLReyes,VacavilleJets,12B,23,0,0,0
AudreyLEchevarria,VacavilleJets,12B,22,1,2,3
DeclanCKing,VacavilleJets,12B,23,5,7,12
NicholasARoss,VacavilleJets,12B,22,15,16,31
AlexanderKish,VacavilleJets,12B,23,3,6,9
ZacharryTSchwab,VacavilleJets,12B,23,26,14,40
JosephRKrejci,VacavilleJets,12B,23,5,12,17
BauerXTorrens,VacavilleJets,12B,22,5,7,12
JacksonRLipps,VacavilleJets,12B,23,1,5,6
WillemPTsang,VacavilleJets,12B,23,1,3,4
WadeDAduddell,RenoIce,12A,18,4,1,5
IsaacLink,RenoIce,12A,18,2,3,5
MadisonABawden,RenoIce,12A,14,1,2,3
GavinMelson,RenoIce,12A,18,8,7,15
TristenDBounds,RenoIce,12A,18,10,10,20
BenjaminGMichaels,RenoIce,12A,18,0,0,0
AndrewWPeacock,RenoIce,12A,18,2,4,6
WestonTGould,RenoIce,12A,18,7,5,12
TristanMRobles,RenoIce,12A,16,0,0,0
QuinnSGrace,RenoIce,12A,16,1,2,3
StephenRRocke,RenoIce,12A,15,9,7,16
JacksonTGreene,RenoIce,12A,18,2,3,5
LukeRSloane,RenoIce,12A,17,23,5,28
RyanJHammerstone,RenoIce,12A,16,0,2,2
AshtonCKirby,RenoIce,12A,18,5,2,7
EthanLee,RenoIce,12A,18,3,5,8
TylerCWong,RenoIce,12A,18,0,2,2
EthanAblao,SanJoseJrSharks,12A-2,28,16,18,34
KendalNagaye,SanJoseJrSharks,12A-2,23,2,1,3
ZackaryCrego,SanJoseJrSharks,12A-2,26,0,0,0
RileyLNagaye,SanJoseJrSharks,12A-2,23,0,5,5
FilipDalarcao,SanJoseJrSharks,12A-2,22,1,3,4
OliverTOuye,SanJoseJrSharks,12A-2,27,13,12,25
AlexanderFilev,SanJoseJrSharks,12A-2,24,34,15,49
MattiasRawji,SanJoseJrSharks,12A-2,25,2,6,8
LukeZHosler,SanJoseJrSharks,12A-2,28,8,6,14
JackReifschneider,SanJoseJrSharks,12A-2,28,2,5,7
EthanHuang,SanJoseJrSharks,12A-2,23,2,2,4
ThomasARichter,SanJoseJrSharks,12A-2,24,27,8,35
SamuelAKeefer,SanJoseJrSharks,12A-2,25,13,11,24
DanielJRussell,SanJoseJrSharks,12A-2,27,24,9,33
AlexanderMakarov,SanJoseJrSharks,12A-2,28,0,1,1
AlekseiRyabchenko,SanJoseJrSharks,12A-2,27,15,19,34
NoahLeinov,SanFranciscoSabercats,12A,32,18,10,28
NicholasHBausman,SanFranciscoSabercats,12A,31,12,9,21
XavierKMarshall,SanFranciscoSabercats,12A,28,0,1,1
TristanDBercovitch,SanFranciscoSabercats,12A,28,2,6,8
HardyAPackard,SanFranciscoSabercats,12A,25,7,13,20
ColeGGardner,SanFranciscoSabercats,12A,32,34,14,48
JackFParr,SanFranciscoSabercats,12A,31,4,2,6
JuliannaBReyes,SanFranciscoSabercats,12A,30,2,1,3
AlvinFengHengHo,SanFranciscoSabercats,12A,27,4,6,10
NathanESwitenki,SanFranciscoSabercats,12A,29,6,9,15
GarrisonHsia,SanFranciscoSabercats,12A,33,62,30,92
MacArioBIbarraTacdol,SanFranciscoSabercats,12A,31,8,4,12
HarringtonYeh,SanFranciscoSabercats,12A,30,1,4,5
EmikoJones,SanFranciscoSabercats,12A,30,0,1,1
EzekielSManlucu,SantaClaraBlackhawks,12BB,34,15,13,28
EsaiahRAmezquita,SantaClaraBlackhawks,12BB,34,7,11,18
NoahNewman,SantaClaraBlackhawks,12BB,32,9,6,15
BrodenTBlackmon,SantaClaraBlackhawks,12BB,34,1,4,5
TaylorTNguyen,SantaClaraBlackhawks,12BB,33,21,5,26
JacksonTCastaldi,SantaClaraBlackhawks,12BB,29,0,0,0
AidenTRamirez,SantaClaraBlackhawks,12BB,34,2,3,5
DylanSRoberts,SantaClaraBlackhawks,12BB,32,2,3,5
GeorgeRGass,SantaClaraBlackhawks,12BB,34,1,4,5
SkilesRGeraci,SantaClaraBlackhawks,12BB,33,8,10,18
KellerDThurston,SantaClaraBlackhawks,12BB,32,34,15,49
FlynnRGrant,SantaClaraBlackhawks,12BB,33,4,5,9
BaileyIWatson,SantaClaraBlackhawks,12BB,26,0,0,0
AnthonyJIvester,SantaClaraBlackhawks,12BB,33,1,6,7
FranchescaAJimenez,SantaClaraBlackhawks,12BB,33,0,4,4
ReesePWatson,SantaClaraBlackhawks,12BB,32,2,4,6
KellenKinkor-Wright,SantaClaraBlackhawks,12BB,34,15,10,25
IanYZhu,SantaClaraBlackhawks,12BB,33,7,5,12
JacobMBoisseranc,StocktonColts,12A,23,3,7,10
ZackAKeough,StocktonColts,12A,21,0,0,0
RykerLCloud,StocktonColts,12A,23,0,0,0
JacksonTLenhardt,StocktonColts,12A,22,3,2,5
LandonPConstant,StocktonColts,12A,23,10,6,16
JohnFLongoIV,StocktonColts,12A,22,1,1,2
