Name,Team,Level,GP,G,A,P
NicholasHBausman,SanFranciscoSabercats,14A,28,8,8,16
TaiseiMiyagawa,SanFranciscoSabercats,14A,29,1,7,8
NicholasVMyagkov,SanFranciscoSabercats,14A,29,13,6,19
ColeGGardner,SanFranciscoSabercats,14A,26,8,8,16
EthanANgo,SanFranciscoSabercats,14A,29,20,14,34
JaedenHuot,SanFranciscoSabercats,14A,28,5,8,13
JailynLPaquin-Askew,SanFranciscoSabercats,14A,22,8,11,19
BennettCPirie,SanFranciscoSabercats,14A,28,10,7,17
MakoaTLawlor,SanFranciscoSabercats,14A,29,6,9,15
DavidASass,SanFranciscoSabercats,14A,29,0,0,0
EthanCBilardello,SanJoseJrSharks,14A,30,0,0,0
NolanJKing,SanJoseJrSharks,14A,35,17,20,37
DeclanMBrady,SanJoseJrSharks,14A,34,9,10,19
TrevorDKnize,SanJoseJrSharks,14A,14,2,2,4
JacobChu,SanJoseJrSharks,14A,34,7,12,19
JulianPLoudon,SanJoseJrSharks,14A,33,1,0,1
NikitaMorosan,SanJoseJrSharks,14A,34,6,5,11
CallumJOrtiz,SanJoseJrSharks,14A,34,6,4,10
RoninLEstrada,SanJoseJrSharks,14A,34,2,3,5
MioSPham,SanJoseJrSharks,14A,33,6,8,14
AlexanderFilev,SanJoseJrSharks,14A,25,17,16,33
DuncanHRoss,SanJoseJrSharks,14A,31,4,11,15
OwenAGarcia,SanJoseJrSharks,14A,34,5,11,16
KazimierzSSoszynski,SanJoseJrSharks,14A,31,1,4,5
NolanJohnstonLee,SanJoseJrSharks,14A,35,6,9,15
NiklasOTossavainen,SanJoseJrSharks,14A,34,1,7,8
BodieDKenny,SanJoseJrSharks,14A,30,19,17,36
QuincyEAdams,SantaClaraBlackhawks,14B-2,28,13,21,34
DexterHardy,CapitalThunder,14B,2,0,0,0
DexterHardy,SantaClaraBlackhawks,14B-2,28,0,1,1
AdelineCBallester,SantaClaraBlackhawks,14B-2,26,7,8,15
LilyAKantrovitz,SantaClaraBlackhawks,14B-2,22,5,3,8
JasonASolis,SantaClaraBlackhawks,14B-2,29,6,9,15
LandonWBergman,SantaClaraBlackhawks,14B-2,29,33,17,50
BaileyIWatson,SantaClaraBlackhawks,14B-2,15,0,0,0
RyanJCharles,SantaClaraBlackhawks,14B-2,27,16,12,28
PatrickRCole,SantaClaraBlackhawks,14B-2,29,17,18,35
EthanWu,SantaClaraBlackhawks,14B-2,27,7,11,18
RyllieHeinrichKDulay,SantaClaraBlackhawks,14B-2,26,16,15,31
BronwynZhao,SantaClaraBlackhawks,14B-2,23,2,3,5
AsaOGrant,SantaClaraBlackhawks,14B-2,29,16,27,43
JackKAlbrecht,SantaRosaFlyers,14A,18,3,3,6
HoldenDLyons,SantaRosaFlyers,14A,20,2,3,5
AidanYBurke,SantaRosaFlyers,14A,25,25,14,39
CavanJMullen,SantaRosaFlyers,14A,24,14,25,39
AlessioLCacchi,SantaRosaFlyers,14A,23,4,12,16
AntonioNPerry,SantaRosaFlyers,14A,24,1,5,6
CharlesACavagnaIv,SantaRosaFlyers,14A,23,8,11,19
LucasPetterssen,SantaRosaFlyers,14A,25,24,8,32
TristynKCosta,SantaRosaFlyers,14A,24,1,2,3
TylerFredson,SantaRosaFlyers,14A,25,4,5,9
LeviEQuinn,SantaRosaFlyers,14A,25,10,12,22
ThomasJGagnebin,SantaRosaFlyers,14A,20,16,15,31
OscarLUrioste,SantaRosaFlyers,14A,22,2,6,8
AndrewJGunter,SantaRosaFlyers,14A,25,0,0,0
AngeloJValentine,SantaRosaFlyers,14A,25,2,5,7
LucasMYarbrough,SantaRosaFlyers,14A,25,1,1,2
AidenJLower,SantaRosaFlyers,14A,25,3,4,7
IsaiahSZumwalt,SantaRosaFlyers,14A,25,0,0,0
ReidBellingrath,CapitalThunder,14B,19,1,7,8
KeenanRMacAluso,CapitalThunder,14B,11,0,0,0
ElizabethCristev,CapitalThunder,14B,20,1,2,3
AaronMaxwell,CapitalThunder,14B,18,1,3,4
FlorianADeJong,CapitalThunder,14B,19,5,2,7
CymryLNowack,CapitalThunder,14B,23,3,3,6
BraydonTGossett-Dyer,CapitalThunder,14B,22,3,5,8
ElleCKinsella,CapitalThunder,14B,23,3,3,6
DominicJPrior,CapitalThunder,14B,23,8,7,15
CalebALee,CapitalThunder,14B,19,3,6,9
ColeSLombardi,CapitalThunder,14B,19,6,2,8
EthanTa,CapitalThunder,14B,17,0,3,3
JoshuaRaphaelRAguilar,SanFranciscoSabercats,14B,17,13,10,23
LukeJKim,SanFranciscoSabercats,14B,19,5,6,11
AlexanderBBrennan,SanFranciscoSabercats,14B,17,4,4,8
CashEKopping,SanFranciscoSabercats,14B,19,9,5,14
GebreCDadresOman,SanFranciscoSabercats,14B,18,0,6,6
StefanMLehane,SanFranciscoSabercats,14B,14,0,0,0
NoahLeinov,SanFranciscoSabercats,14B,17,7,10,17
NiccoloEllers,SanFranciscoSabercats,14B,19,1,7,8
MaximillianJLevin,SanFranciscoSabercats,14B,19,6,6,12
NathanESwitenki,SanFranciscoSabercats,14A,24,1,5,6
NathanESwitenki,SanFranciscoSabercats,14B,1,1,0,1
JacobHuynh,SanFranciscoSabercats,14B,19,3,7,10
EmikoJones,SanFranciscoSabercats,14B,17,0,0,0
HarringtonYeh,SanFranciscoSabercats,14B,16,3,2,5
JacobMBoisseranc,StocktonColts,14A,24,0,3,3
AnthonyGLopezRodrigues,StocktonColts,14A,24,1,13,14
LandonConstant,StocktonColts,14A,21,1,6,7
MathiasVMartinez,StocktonColts,14A,19,2,3,5
IzackAParsons,StocktonColts,14A,24,32,13,45
LandonGCorcoran,StocktonColts,14A,24,6,16,22
SebastianRPerez,StocktonColts,14A,24,20,12,32
ElleEDelgado,StocktonColts,14A,22,11,14,25
BraydenTSchneider,StocktonColts,14A,21,3,4,7
GrantPDevelbiss,StocktonColts,14A,24,10,19,29
DonovanTSoliven,StocktonColts,14A,21,8,8,16
DarrianJStevens,StocktonColts,14A,22,10,12,22
ZackAKeough,StocktonColts,14A,23,0,0,0
ChristianRTaylor,StocktonColts,14A,21,4,2,6
JacksonTLenhardt,StocktonColts,14A,24,0,4,4
HaydenCBrunke,VacavilleJets,14A,23,1,3,4
EliMeis,VacavilleJets,14A,1,1,0,1
AustinKCohen,VacavilleJets,14A,24,12,8,20
JacobPMilton,VacavilleJets,14A,24,0,4,4
AlbertDReyes,VacavilleJets,14A,24,13,13,26
TroyWHarrold,VacavilleJets,14A,24,5,8,13
JamesMHoobler,VacavilleJets,14A,24,4,2,6
NicholasARoss,VacavilleJets,14A,24,8,8,16
ConnorAHorn,VacavilleJets,14A,24,9,10,19
JosephKrejci,VacavilleJets,14A,1,0,0,0
ElizabethAWard,VacavilleJets,14A,16,3,6,9
CaesarAMassari,VacavilleJets,14A,24,0,1,1
ZoeyJWood,VacavilleJets,14A,15,1,3,4
JackEMeador,VacavilleJets,14A,21,15,7,22
EliSMeis,VacavilleJets,14A,23,10,13,23
JosephRKrejci,VacavilleJets,14A,23,2,6,8
GavinBAnderson,CapitalThunder,14A,25,4,9,13
TorinWOdestig,CapitalThunder,14A,25,1,6,7
VincentBersamina,CapitalThunder,14A,26,8,13,21
CameronGRiddle,CapitalThunder,14A,24,15,16,31
BrookelynMBurkhalter,CapitalThunder,14A,20,1,2,3
HannahCClausen,CapitalThunder,14A,25,0,5,5
LucasRDelgado,CapitalThunder,14A,26,6,12,18
RyanPRuffell,CapitalThunder,14A,26,12,16,28
ThomasEDuerr,CapitalThunder,14A,27,6,7,13
WayneRSmith,CapitalThunder,14A,22,1,1,2
AlexJStillman,CapitalThunder,14A,25,20,13,33
ZacharyJHughes,CapitalThunder,14A,27,35,12,47
DylanKLundqvistPoppers,CapitalThunder,14A,24,2,3,5
ZacharyCYamamoto,CapitalThunder,14A,25,7,3,10
BraydenJObad,CapitalThunder,14A,24,0,3,3
ArseniYanav,CapitalThunder,14A,26,0,0,0
WadeDAduddell,RenoIce,14A,22,8,5,13
